fever_id,claim,classification
175921,Aunt May is a character that appeared in comics.,true
131969,Vatican City has yet to be established.,false
216791,Timur was only Chinese.,false
117316,Vatican City was established as a city-state by the Lateran Treaty.,true
75584,Faye Resnick is known for her appearances on television.,true
90080,Terry Crews played on the Los Angeles Rams in 1996.,false
222738,Vedic Sanskrit is an ancient writing system.,false
134983,The English Wikipedia is the Spanish-language edition of an encyclopedia.,false
117063,Derek Hough starred in a work.,true
155920,Taylor Lautner appeared in The Bernie Mac Show in 2001.,false
63308,Dan Trachtenberg is an American filmmaker.,true
100446,Shomu Mukherjee died of a heart attack in November.,false
54411,Babur was born in 1483.,true
23729,The Dodo has been depicted with a green beak.,true
66801,Cheese in the Trap (TV series) stars Batman.,false
223273,The Baja 1000 was covered by Jim McKay in 1968.,true
211009,Resident Evil is a film.,true
122000,Danger UXB is a TV show.,true
142735,Elizabeth I was the daughter of a salesman.,false
9504,Pink covered the song Rhythm Nation.,true
134344,Joe Rogan was a person.,true
119794,Amancio Ortega is a business tycoon.,true
217025,Jab Tak Hai Jaan was praised for its cinematography and direction.,true
10675,Manchester United F.C. was the world's highest-earning tennis club for a season.,false
42583,Henry III assumed the throne when he was 9 years old in 1246.,false
193844,"Ed Gagliardi died on April 11, 2014.",true
1746,Sheryl Lee has yet to work with Woody Allen.,false
17374,John DiMaggio had a role on Teen Titans.,true
75538,Hedda Gabler's world premiere took place in Schwabing.,false
131670,Michael Hutchence has yet to die.,false
109036,Atlanta metropolitan area is located in south Georgia.,false
17628,Jack Lowden is incapable of being an actor.,false
124050,Kung Fu Panda was released in theaters in 2006.,false
129221,Colin Kaepernick starts for the San Francisco 49ers.,true
32595,Castlevania was developed by Konami.,true
172108,Selena Gomez & the Scene's debut album was released in 2008.,false
41265,Carlos Santana is a musician.,true
62201,The Gifted was created for Fox.,true
116269,One Flew Over the Cuckoo's Nest was released in a year between 1934 and 1970.,false
142631,Raja Hindustani is a 1996 drama romance film directed by Michael Fassbender.,false
182915,The soundtrack of Far from the Madding Crowd was by Waluigi.,false
101604,The second album of Danny Brown was named XXX.,true
88479,West Virginia only borders Vermont to the northeast.,false
110008,The University of Illinois at Chicago is a high school.,false
40528,SpongeBob SquarePants is not a series.,false
165699,Randy Jackson turned down working as a judge for American Idol (season 8).,false
21146,Kuching is a city in Singapore.,false
72401,The Columbia River contains locks for shipping channels.,true
180578,Swordfish (film) is a film that is about a type of person.,true
96377,"In 2015, among Americans, 11% of adults had consumed alcoholic drink at some point.",false
154989,Poldark has three series.,true
105419,Youtube is not a website.,false
181255,Sean Gunn was on Gilmore Girls.,true
226843,"Sejong the Great was born on May 15, 1397.",true
141801,TakePart is a division of a film production company.,true
131965,Andrew Kevin Walker is a writer.,true
181206,Southpaw is an American novel.,false
26281,Legendary Entertainment has been a subsidiary of Wanda Group since 2016.,true
206712,Samwell Tarly appears in novels by George R. R. Martin.,true
137842,Arizona is a mass-marketed beverage.,false
70311,IMDb is a professional Dota 2 player.,false
204551,Commodore is ranked superior to a navy captain.,true
127402,Mandy Moore is a writer.,true
1251,"Watertown, Massachusetts is in the most populous state in New England.",true
36063,Catherine Keener appeared in a film.,true
154314,Southern Hospitality was unable to reach the Top 40.,false
78345,Konidela Production Company is a book.,false
4171,A monster is a creature.,true
92641,David Packouz was born in the 1980's.,true
142286,Shadowhunters did not begin its second season in January 2017.,true
36308,Marco Polo left a chronicle.,true
7769,Tottenham Hotspur F.C. is Scottish.,false
8550,The Mirny (sloop-of-war) was commanded by a person.,true
186320,The Hunchback of Notre Dame is based off of a book.,true
13396,Anushka Sharma won a Filmfare Award for Best Supporting Actress.,true
122692,The Residenztheater is where Hedda Gabler's world premiere took place.,true
136853,Rachel Green is a fictional hat.,false
43563,Birthday Song (2 Chainz song) was unable to get produced by Mike Dean.,false
93300,Eric Bana died in 1968.,false
148167,Hush (2016 film) was produced.,true
35681,Internet access avoids the use of computer terminals.,false
143042,Staton is the middle name of Matt Bomer.,true
143144,Henri Kontinen won the Australian Open men's doubles championship in 2011.,true
135836,"Lemmy was known for his soft, gentle voice.",false
78843,Skopje was contested between dead bodies.,false
49838,Dakota Fanning is American.,true
74488,Laura Robson is a Wimbledon Junior Girls' Championship winner.,true
69837,The United Nations Charter was drafted in 1946.,false
10461,Kuching is in Sri Lanka.,false
81609,The Hit is a painting.,false
5578,Australia (2008 film) production took place in Kununurra.,true
134682,The Lincoln-Douglas debates happened in a town.,false
73941,Underdog refused to cast Peter Dinklage.,false
53669,Guns N' Roses is an American hard rock restaurant.,false
11853,Robinson Crusoe on Mars was distributed by an American film studio in 2006.,false
193525,Several awards have been given to Bala for his work.,true
149607,"Charlotte, North Carolina banned any corporation headquarters forever.",false
27416,"University of Chicago Law School is ranked first for ""Faculty quality based on American Academy of Arts and Sciences Membership.""",true
125458,Ed and Lorraine Warren were dogs.,false
75770,Shawn Carlson was born in 1920.,false
153539,Superhuman abilities may be impeded by human enhancement by nanotechnology.,false
89322,Simon Pegg is English.,true
86914,Gin is a berry flavoured spirit.,true
145061,"Ed Gein did not commit crimes around Plainfield, Wisconsin.",false
121468,Homo sapiens are on the IUCN Red List.,true
118068,Liverpool is unrelated to The Beatles.,false
97251,Rob Sheridan was born on September.,false
117409,Starrcade was eventually broadcast via pay-per-view umbrella.,false
142638,"Scotty Moore was born on May 27, 1931.",false
124862,How to Train Your Dragon 2 used old animation software.,false
203156,Polynesian languages include Tahitian.,true
137335,"Kerplunk, released in 1990, was Green Day's last album on the Lookout Records label.",false
229303,A working animal is trained to perform tasks.,true
76165,"Camden, New Jersey is in Camden County, New Jersey.",true
108376,"Prescott, Arizona is an American city.",true
182918,The cinematography of Far from the Madding Crowd was by Waluigi.,false
108345,Raven-Symoné refuses to be an actress.,false
198216,Saturn is the second-largest planet in the Solar System.,true
175930,Aunt May is a character that appeared in movies.,true
202764,Despicable Me 2 was animated by a dog.,false
187375,Rob McElhenney plays Mac on an FX/FXX comedy series.,true
220290,Peter Yates refused to direct the movie Bullitt.,false
194367,Happiness in Slavery is a not song by a band.,false
73412,Marco Polo was an Asia.,true
12843,Penguin Books revolutionized publishing in the 1930s.,true
206437,Uta Hagan is incapable of being an American actress.,false
46666,Gin derives its main flavour from strawberries.,false
192793,A staging area is only an unused piece of land.,false
100919,Sidse Babett Knudsen works in radio.,false
108281,Andrew Kevin Walker is only Chinese.,false
181823,Don Hall is a Walt Disney Animation Studios filmmaker.,true
145616,Donald Duck typically wears only a dress.,false
140299,Donna Noble is unfamiliar with the Doctor Who franchise.,false
849,John S. McCain Jr. graduated in 1931.,true
209103,Sennacherib's youngest daughter was Esarhaddon.,false
225722,David Lloyd George was a prime minister.,true
78855,Henry Condell had zero widows.,false
112334,Kojol received the third highest civilian honour of the country.,false
221132,Ted Cruz is from the United States.,true
92625,Maximum Overdrive is a film from 1986.,true
64131,Deepika Padukone has only been in one Indian film.,false
13515,Petyr Baelish is created by an American author George R.R. Martin.,true
165890,"Alice Cooper was born on February 4th, 1948.",true
138758,I Kissed a Girl was only recorded by Donald Trump.,false
134126,Jason Bourne removed Riz Ahmed from the movie's cast.,false
61989,Rupert Murdoch has worked since at least 1354.,false
204557,Commodore is only a land rank.,false
16646,Andrew Moray led an uprising against occupation in 1297.,true
60425,Salman Rushdie was a winner of the Booker Prize.,true
142490,"Benjamin Franklin finished college on April 17th, 1790.",false
19484,The Vandals established kingdoms in the 8th century.,false
156656,Melilla shares a border with a country.,true
13894,English people are descended from the Angles.,true
175436,A manga series illustrated by Takeshi Obata is the basis for the Japanese television drama series Death Note.,true
94918,Helmand Province is in Iraq.,false
81007,Touchscreens are used in tablet gaming computers.,true
110635,A French business publishes Michelin Guides.,true
196757,Marnie was exclusively directed by a woman.,false
155989,Scaramouche is a stock character of a horse.,false
44347,Duff McKagan was born in May of 1964.,false
199263,Prince Charles and Lady Diana's wedding anniversary was a traditional wedding service.,true
140032,Georges Gilles de la Tourette failed to describe symptoms in nine patients.,false
24479,Charles de Gaulle was a leader in the French Resistance.,true
154859,George III of the United Kingdom did not experience Great Britain as a dominant European power.,false
192858,Ian Brennan only works in mining.,false
227362,Giada at Home was only available on DVD.,false
3119,The University of Illinois at Chicago is located in Jamaica.,false
184049,Kenneth Lonergan is a songwriter.,false
64910,James Brolin has never appeared in television.,false
137416,Arizona is a part of France.,false
153836,Camp Flog Gnaw is barred from being a carnival.,false
134387,2016 Tour de France was not won by Chris Froome.,true
176628,Great white sharks prefer humans as prey.,false
10650,Rehab is Amy Winehouse's signature song.,true
142462,"During the Battle of France, English forces occupied Paris.",true
47228,Chris Bosh played with the basketball team in Miami.,true
148779,The Challenge XXX: Dirty 30 is a season of an Australian TV show.,false
119515,Cars 3 is a computer animated prototype.,false
18051,Kate Walsh has yet to appear on an ABC television drama.,false
67818,"On January 5, 1998, Sonny Bono perished.",false
13688,Salt River Valley is on the Mississippi River.,false
113467,Telemundo is incapable of being an American television network.,false
186941,Cher was released only by Sony Music.,false
207332,Military deception is a form of disinformation.,true
164896,Hezbollah received a type of support from Syria.,true
160864,"Frequently, French Indochina is abbreviated.",true
157273,Salman Rushdie was accused of plagiarizing a 1981 novel.,false
168041,Larry Wilmore is Canadian.,false
98274,"Pink was born on September 4, 1970.",false
69238,No Country for Old Men is a drama.,false
118481,Some Kentucky inmates are executed by lethal injection instead of the electric chair.,true
221245,"The Block (album)'s single was released on November 18, 2008.",false
190153,In 1995 Oscar de la Hoya was named Fighter of the Year.,true
182282,Saturn Corporation is a subsidiary of no other entities.,false
129066,Dev Patel has not worked with Neill Blomkamp.,true
39171,Brazzers is based in Canada.,true
171496,Jiang Wen is exclusively American.,false
194753,L. Ron Hubbard spent the remaining years of his life on a ranch.,true
122767,T2 Trainspotting is set in and around Dundee.,false
127098,MSG has a bitter taste.,false
2374,Anthony Scaramucci is not a political figure.,false
193893,Bea Arthur's birth name was Bea Arthur.,false
193884,Bea Arthur was born in 1922.,true
185736,Mani Ratnam is given credit by many people for changing the profile of Indian cinema.,true
182043,The Fly is exclusively a novel.,false
186591,Asylum Records is a record label founded in 1971.,true
223346,The principal photography of The Disaster Artist (film) is incapable of starting.,false
46513,The filming of Dilwale Dulhania Le Jayenge finished in August 1995.,true
192034,American Library Association is the smallest of its kind.,false
60008,"""Artist of the Year"" was a name given to Danny Brown by Metro Times.",true
126509,"Make It or Break It ended in May 14th, 2012.",true
51435,There was an attempt to change Cyprus.,true
66940,Harold Macmillan was involved with politics.,true
224133,Celebrity Rehab with Dr. Drew is set wholly on-location at the Playboy Mansion.,false
208414,Excuse My French is the debut album of an artist.,true
110647,Birmingham is a sports team.,false
179088,Cate Blanchett starred in the film The Good German.,true
209884,In a Lonely Place has a script based on a work from 1947.,true
42943,T2 Trainspotting is directed by a man from the capital city of Scotland.,false
155659,Yin and yang contain a section of the opposite element in each portion.,true
87072,Anne Boleyn returned to England.,true
66918,Johnny Galecki's character in The Big Bang Theory had a doctoral degree.,true
111176,Part of Dilwale Dulhania Le Jayenge was filmed in Super 8.,false
152955,I Want to Know What Love Is is a single.,true
46464,Carlos Santana is a US president.,false
124669,Paramore is retired.,false
203373,Goosebumps (film) is based on a story by Scott Alexander and Larry Karaszewski.,true
171638,Dave Gibbons is a writer.,true
69652,Maggie Q starred in a TV series.,true
145624,Gin does not derive its main flavour from juniper berries.,false
184099,Ernest Medina played a role in a Vietnam War mass murder.,true
13155,James Earl Jones was not the voice of Darth Vader.,false
36775,The Times was founded in 1980.,false
168003,Don Bradman had anything but declining years.,false
32255,Dilwale Dulhania Le Jayenge was shot in different locations.,true
97576,Yin and yang is a Taoist moral concept.,true
21644,Jason Bourne has Julia Stiles as part of the cast.,true
18065,Colombiana was produced by Olivier Megaton.,false
122477,The Gettysburg Address was delivered exclusively by King George III.,false
27187,T2 Trainspotting is a British film.,true
75393,"Pierce County, Washington is the location of the shortest mountain of the Cascade Range of the Pacific Northwest.",false
218471,The Hanford Site contributes to the LIGO Hanford Observatory.,true
47630,"""I Feel for You"" by Chaka Khan was released five years after 1984.",false
192714,CBS is the network that aired The Millers.,true
130248,Aldous Huxley barely published scripts.,true
137038,Emily is the name of the mother of Lorelai Gilmore.,true
164894,Hezbollah received a type of training from Iran.,true
194260,Coins of the Swiss franc are used only outside of Liechtenstein.,false
117967,Tenacious D started in the 1990's.,true
112701,Younger ended in 2015.,false
215215,Dreamer (2005 film) is an American sports television show.,false
72358,Ripon College is in hell.,false
12683,The CONCACAF Champions League is organized by CONCACAF.,true
205656,St. Anger is only a single.,false
137678,"Food Network is available to approximately 96,931,000 pay television citizens.",false
40396,L.A. Reid has served as the CEO of an American record label owned by Sony Music Entertainment.,true
172312,Scream 2 was directed exclusively by Barack Obama.,false
189773,Matthias Corvinus had a library.,true
117114,"Camden, New Jersey has no universities.",false
106478,AMGTV has science fiction television programming.,false
128454,Awkward Black Girl is a web forum.,false
126926,Hinduism contains a philosophical range.,true
138159,Gray Matters only stars Jack Black.,false
70020,Angela Bassett started her film career in the mid-1980s.,true
19663,Guillermo del Toro was born in 1700.,false
174585,Artpop debuted at number one on the United States Billboard 200.,true
13872,Tool has produced albums.,true
71687,David Packouz was born in 1989.,false
80148,Castlevania came out in Japan in 1990.,false
164420,Carey Hayes is illiterate.,false
75871,Luis Fonsi is Puerto Rican.,true
114984,Shut Up debuted at number 33.,false
7546,Brown University's main campus is located in the most populous city in Rhode Island.,true
227775,"Lyon's population has never increased above 500,000.",false
194904,Stripes had Conrad Dunn featured in it.,true
102751,Neil Diamond is not a songwriter.,false
84272,Mud has a Canadian in its cast.,false
7436,"Simon Pegg was born on February 14th, 1860.",false
87161,Andrew Moray led an uprising against occupation in 1397.,false
180722,Victoria (Dance Exponents song) peaked at number 10 on the New Zealand Singles chart.,false
327,Donald Duck typically wears a cap.,true
187323,"Diana, Princess of Wales divorced.",true
74163,"George III of the United Kingdom experienced Great Britain as a dominant European power, including over the territories it controlled in America and India.",false
79688,Men in Black II is a 2007 film.,false
18794,"On October 11, 1977, Matt Bomer was born.",true
94760,P.S I Love You (film) was reviewed by Richard LaGravenese.,false
69655,Johann Wolfgang von Goethe became managing director of the theater at Weimar in 1751.,false
7105,Zac Efron is Somali.,false
64067,Sausage Party was only directed by Donald Trump.,false
188581,Pitch Perfect 2 is a bill.,false
21405,Brie Larson is an anarchist.,false
41571,"In Stanley Park, lots of trees have been replanted.",true
39605,Neil Diamond is a musician.,true
91139,Salt River Valley is on the Utah-Arizona border.,false
8504,Jenna Jameson has been photographed.,true
1666,Ed Wood is about the eponymous filmmaker.,true
106308,Pink is a Dutch singer.,false
97458,The final season of Lost was watched by by an average of 9.6 million viewers per episode.,false
37067,"Lee Daniels directed a film based on the novel ""Push.""",true
192751,The Colbert Report was broadcast Monday.,true
128141,The Gettysburg Address was delivered by a Secretary of the United States.,false
134097,Lockhead Martin F-35 Lightning II first flew in 2008.,false
67582,No Country for Old Men is critically acclaimed.,true
25289,The Love Club EP is the debut extended play by Lorde.,true
16581,Hindu Kush's highest point is the peak called Hindu Kush.,false
172750,The Beach is a film with multiple genres.,true
111206,Fidel Castro transferred his responsibilities.,true
87903,Mission Impossible 3 stars Maggie Q.,true
164101,Annie is a movie.,true
226114,Bongwater was based on a book.,true
168612,The Thin Red Line (1998 film) features a performance by Sean Penn.,true
153437,Menace II Society is a motion picture.,true
32927,John Krasinski is an actor on The Office.,true
160927,Juventus F.C. competes in the Coliseum.,false
47525,King Edward the First's occupation of north Scotland was opposed by Andrew Moray.,true
103398,The Danish language is spoken only outside of Norway.,false
200290,Natural Born Killers was based upon Tarantino's original screenplay without revision.,false
152461,Eddie Guerrero had problems with substance abuse.,true
114469,Simon Cowell has donated zero dollars to anything ever.,false
201576,A thunderstorm requires the presence of lightning.,true
175725,The Cry of the Owl is a thriller film.,true
150765,Penélope Cruz refused to model for Mango.,false
80984,Clueless (film) was followed by one young adult novel.,false
41923,Dilwale Dulhania Le Jayenge was all filmed in China.,false
69139,Ice-T signed to Sire Records in 1987 when he was 18 years old.,false
93610,Britt Robertson is an entertainer.,true
187564,Dan Brown wrote a 2003 bestselling novel.,true
142717,A person who was born in August discovered Uranium-235.,true
103063,Hermit crabs are animals.,true
122572,Acting is John Krasinski's career.,true
143046,Henry Cavill played Superman.,true
47357,Margaret Thatcher implemented policies.,true
224968,Kentucky is known for bluegrass music.,true
134442,A parent of Jed Whedon was a screenwriter.,true
72585,Scream became notable.,true
155173,Zac Efron's middle names are Emma and Suzanne.,false
25739,Jamie Lee Curtis' father is Tony Curtis.,true
135180,Yin and yang do not show a balance between opposites.,false
105176,The Washington Wizards were the winners of four conference titles.,true
137385,Aaron Burr is the current vice president.,false
112277,"Stanley Williams was executed in March 5th, 2005.",false
60350,Shinji Mikami is a director.,true
123925,Wales was always an industrial nation.,false
91868,Azithromycin is prescribed under different trade names.,true
111325,Winter's Tale is only a movie.,false
96943,Hot Right Now is off of DJ Fresh's fourth album.,false
105928,Bob Ross created a painting show.,true
56284,Chest sensation is one symptom of pulmonary embolism.,true
171498,Jiang Wen was born on January 6.,false
164060,The Saturn Award for Best Fantasy Film is presented by the Academy of Motion Picture Arts and Sciences.,false
79575,Sausage Party is a comedy.,true
65306,Younger is a series.,true
11940,Edward Cullen was created outside of Stephenie Meyer's work.,false
28406,Eva Green did not have a career in theatre.,false
109831,Wolfgang Amadeus Mozart had at least two sons.,true
186592,Asylum Records was first founded in 1787.,false
89450,Yugoslavia was a city.,false
1139,"Catherine Keener appeared in Synecdoche, New York.",true
92988,See You on the Other Side is a boat.,false
56038,James Spader refused to star in any controversial psychological thrillers.,false
108880,"Harold Macmillan was born on Monday February 10, 1894.",false
56735,The Blue Dog Coalition was formed.,true
93416,Aubrey Anderson-Emmons did not star on Modern Family.,false
183447,Henry III of France was murdered.,true
171624,Dave Gibbons's middle name is Jason.,false
2447,Colin Kaepernick is a football player.,true
175485,Christian Gottlob Neefe was only an opera singer.,false
16376,Maximum Overdrive is a 1986 science fiction action horror comedy film.,true
161195,"Jarhead, a 2005 American biographical war drama, was directed by Jim Jarmusch.",false
131495,Kuching is in the state of Johor.,false
188148,Stephen Moyer refused to ever act in anything.,false
195370,Graffiti was released in 2005.,false
83530,The House of the Spirits won German Film Awards in 1988.,false
10118,Barbarella is a film from 1968.,true
119066,Chris Kyle was a United States Navy SEAL veteran and sniper.,true
5666,One Flew Over the Cuckoo's Nest won an Academy Award.,true
173030,Barcelona is the capitol city of Catalonia.,true
45018,Chris Paul is a point guard for the Lakers.,false
110221,Knowledge and research in multiple fields is incorporated with Speech recognition.,true
7257,Hermit crabs are crustaceans in the superfamily Paguroidea.,true
4251,Solanum contains the leopards.,false
101583,Guillermo del Toro does not work in the film industry.,false
23137,Therasia is a peninsula.,false
80676,Watchmen is a dark satirical and dystopian take on the superhero genre and it lasts for six hours and forty-five minutes.,false
37881,Tenacious D began in California.,true
64660,Charles de Gaulle was used as the basis of a French political stance.,false
129088,Matthew Gray Gubler was born in 1984.,false
186979,Bermuda Triangle is also referred to as the Devil's Triangle.,true
166634,Anne Rice was born in Japan.,false
170420,Michael Vick is a former football quarterback in the NFL.,true
89633,Romani people has a population of 5387 in the Republic of Macedonia.,false
107543,The Africa Cup of Nations is a football tournament.,true
55065,Ripon College has existed.,true
71639,Amy Winehouse died of alcohol poisoning at age 27.,true
97554,Sabbir Khan directed zero films.,false
131309,Henry Cavill is a famous director.,false
107307,"On April 8, 1974, Chris Kyle was born.",true
125513,The dress did not inspire hashtags.,false
216395,Homer Hickman's memoirs sold terribly.,false
179035,Congressional Space Medal of Honor is awarded based on recommendations from the Administrator of Office Depot.,false
144769,Fantastic Four (2005 film) was released only in Australia.,false
9833,The State of Palestine claims East Lebanon.,false
145533,Estonia is a place.,true
66842,James Jones missed the playoffs once in 2007-2008.,true
130007,Internet access requires the use of computers.,false
212767,The undergraduate college of Harvard University became coeducational after its merger with Radcliffe College.,true
23475,Highway to Heaven is a drama series.,true
101821,Daenerys Targaryen was introduced in A Feast for Crows.,false
162216,Ding Yanyuhang is an American professional basketball player.,false
61807,"In The 100, adults are the first to return to Earth after a devastating nuclear apocalypse.",false
145707,The great white shark does not prefer to prey on humans because it's a herbivore.,false
113912,"James, Viscount Severn was born in the 1990s.",false
187379,Rob McElhenney is on an FX/FXX comedy series playing a character.,true
132762,Seohyun is only a director.,false
14790,"On September 6th, 1997, Diana, Princess of Wales's funeral took place.",true
44566,Mary of Teck was queen-consort.,true
141159,Soyuz is a series of movies.,false
130332,Exercise raises resting heart rate in the long term.,false
78859,Lemmy was recognized for his looks.,true
103116,"Jack Dylan Grazer is a child actor, who is an American.",true
36141,Lucy Hale is an actress and singer.,true
158208,Stephen Colbert is a talk show host currently hosting The Late Show.,true
52559,The genre of Colombiana is action.,true
13758,Murda Beatz is a record producer.,true
189452,Yandex operates in Lithuania.,false
53025,Monetary gain can be a purpose of fraud.,true
205106,Gaius Julius Caesar was Roman.,true
61641,Francis I of France had the popular nickname Francis of the Large Nose.,false
201793,Live Through This is an album.,true
4350,Kendall Jenner is a model.,true
208427,Excuse My French is an album by an German rapper.,false
53760,Garden State was chosen in an official manner.,true
66524,Honeymoon is Lana Del Rey's fourth single.,false
40622,"Neil Diamond finished college on January 24th, 1941.",false
76117,I Want to Know What Love Is is a song.,true
156102,"Keith Stanfield was born on March 12, 1991.",false
112986,Angelsberg is a city.,false
27980,Kenny Chesney's full name is Kenneth Arnold Chesney.,true
103167,The Love Club EP is the debut extended play by Banks.,false
199735,Tijuana is the center of the Tijuana metropolitan area.,true
220205,Raabta (song) is a romantic Hindi song from a movie.,true
99635,Mad Max: Fury Road was released in 2017.,false
79146,The Danish language is spoken only outside of Canada.,false
2521,Akkineni Nageswara Rao plays in Daag.,false
38141,Rick Ross made more than eight studio albums.,false
6270,Angela Bassett received a bachelor of arts degree from Yale University.,true
75309,The Bassoon King is a book.,true
111764,Winter's Tale is by an American.,true
168637,The Thin Red Line (1998 film) portrays only frogs.,false
70159,One Dance reached number one in the Netherlands in 2010.,false
195129,Backing vocalists provide instrumental harmony.,false
224557,"Vampire Academy, worldwide, grossed $15.4 million.",true
