url,ai_class,confidence
https://www.9news.com/article/features/how-to-keep-rabbits-out-of-your-yard/73-447474003,Human,0.9995
https://www.adobe.com/acrobat/hub/add-a-signature-block-to-pdf.html,Human,0.9985
https://www.adobe.com/acrobat/hub/add-a-signature-to-a-form.html,Human,0.9946
https://www.adobe.com/acrobat/hub/edit-a-pdf-in-google-drive.html,Human,0.9834
https://www.adobe.com/acrobat/hub/how-to-compress-a-jpeg.html,Human,0.9741
https://www.adobe.com/acrobat/hub/how-to-compress-pdfs-windows-10.html,Human,0.9951
https://www.adobe.com/acrobat/hub/how-to-email-large-pdf-files.html,Human,0.998
https://www.adobe.com/acrobat/hub/how-to-flatten-a-pdf.html,Human,0.9985
https://www.adobe.com/acrobat/hub/merge-pdf-files-in-windows-10.html,Human,0.9888
https://www.adobe.com/acrobat/hub/why-is-pdf-so-big.html,Human,0.9976
https://www.adobe.com/acrobat/online/compress-pdf.html,Human,0.5752
https://www.adobe.com/acrobat/online/password-protect-pdf.html,AI,0.6426
https://www.adobe.com/acrobat/online/pdf-editor.html,Human,0.9976
https://www.adobe.com/acrobat/online/sign-pdf.html,Human,0.6152
https://www.adobe.com/au/acrobat/roc/blog/how-to-compress-pdf-1mb-less.html,Human,0.9995
https://www.adobe.com/au/acrobat/roc/blog/how-to-make-pdf-zip-file.html,Human,0.9956
https://www.adobe.com/au/creativecloud/roc/blog/photography/light-photography.html,Human,1
https://www.adobe.com/creativecloud/file-types/video/container/mkv.html,Human,0.9985
https://www.adobe.com/devnet-docs/acrobatetk/tools/releasenotesdc/index.html,Human,0.9995
https://www.adobe.com/express/feature/image/resize/jpg,Human,0.9897
https://www.adobe.com/in/acrobat/online/excel-to-pdf.html,AI,0.9893
https://www.adobe.com/uk/acrobat/online/compress-pdf.html,AI,0.9702
https://www.adobe.com/uk/acrobat/online/pdf-editor.html,Human,0.9941
https://www.adobe.com/uk/acrobat/resources/how-to-compress-pdf-to-1-mb-or-lower.html,Human,0.981
https://www.adobe.com/uk/acrobat/resources/print-pdf-iphone.html,Human,0.9995
https://www.akamai.com/glossary/what-is-a-network-switch,Human,0.9771
https://www.akamai.com/glossary/what-is-a-web-crawler,Human,0.9941
https://www.analog.com/en/resources/analog-dialogue/articles/ferrite-beads-demystified.html,Human,0.999
https://www.aphis.usda.gov/pet-travel,Human,0.9976
https://www.aphis.usda.gov/pet-travel/another-country-to-us-import,Human,0.9985
https://www.asos.com/us/asos-design/asos-design-satin-halter-maxi-dress-in-olive-green/prd/209024729,Human,0.9995
https://www.asos.com/us/asos-design/asos-design-shift-mini-dress-with-pockets-in-print/prd/208830717,Human,0.9985
https://www.asos.com/us/discover/size-charts/men/blazers,Human,0.9961
https://www.asos.com/us/discover/size-charts/men/suits-tailoring,Human,0.999
https://www.barnesandnoble.com/w/rms-carpathia-william-baird/1127080875,Human,0.9883
https://www.bestbuy.com/site/questions/cyberpowerpc-battlebox-ultimate-gaming-desktop-intel-core-i7-8700k-32gb-memory-nvidia-geforce-gtx-1080-ti-240gb-ssd-3tb-hdd-white/6128527/question/dd863672-a8c4-3ce6-8170-0e2cecd57529,Human,0.9995
https://www.bestbuy.com/site/questions/cyberpowerpc-gaming-desktop-amd-ryzen-7-3700x-16gb-memory-amd-radeon-rx-5700-2tb-hdd-240gb-ssd-black/6362433/question/7a756c54-aecc-373b-8b74-a9a9d6147aec,Human,0.9995
https://www.bestbuy.com/site/questions/dell-inspiron-15-6-laptop-intel-core-i3-6gb-memory-1tb-hard-drive-black/5835851/question/2afb1c84-54b0-3de3-8f0b-05a0c184fc7e,Human,0.9995
https://www.bestbuy.com/site/questions/dell-inspiron-15-6-laptop-intel-core-i5-12gb-memory-256gb-solid-state-drive/6460201/question/a40dad82-4855-34b0-b473-6379501b5f99,Human,0.999
https://www.bestbuy.com/site/questions/logitech-mk850-performance-full-size-wireless-keyboard-and-mouse-combo-for-pc-and-mac-black/5761911/question/851275ca-f7d5-3015-bad2-c2a8a22e92d8,Human,0.9995
https://www.bestbuy.com/site/questions/logitech-wave-keys-mk670-combo-ergonomic-wireless-keyboard-and-mouse-bundle-for-windows-mac-with-integrated-palm-rest-graphite/6554353/question/a370cecd-97ca-3b75-b613-df3d5f4a8650,Human,1
https://www.bestbuy.com/site/questions/samsung-stormwash-24-top-control-built-in-dishwasher/5325802/question/82784936-bf61-3250-8b62-f1f05f6e3a8b,Human,0.999
https://www.bhp.com/what-we-do/products/iron-ore,Human,0.9995
https://www.classification.gov.au/titles/squid-game-season-1,Human,0.998
https://www.clinique.com.au/skin-school-blog/how-find-perfect-red-lipstick-your-skin-tone-skin-school-clinique,Human,0.998
https://www.costco.com/cyberpowerpc-gamer-xtreme-gaming-desktop---13th-gen-intel-core-i5-13400f----geforce-rtx-4060%2c-black.product.4000202717.html,Human,0.9985
https://www.costco.com/cyberpowerpc-gamer-xtreme-gaming-desktop---intel-core-processor-i5-14400f---geforce-rtx-4060.product.4000251820.html,Human,0.998
https://www.costco.com/garden-center.html,Human,0.9946
https://www.costco.com/generac-home-standby-generators.html,Human,0.999
https://www.costco.com/join-costco.html,Human,0.9995
https://www.costco.com/mattress-toppers.html,Human,0.9897
https://www.costco.com/mattresses.html,Human,0.9961
https://www.costco.com/spas-pools.html,Human,0.9971
https://www.cvs.com/immunizations/shingles,Human,0.9995
https://www.cvs.com/shop/home-health-care/monitors/blood-pressure-monitors,Human,0.9956
https://www.dailymail.co.uk/femail/article-14846739/my-wife-sectioned-eight-months-marriage-pinned-floor-police-carried-away-men-white-coats-impact-bond-kids-heston-blumenthal.html,Human,0.9995
https://www.dailymail.co.uk/news/article-13927717/melania-trump-memoir-son-barron-autism-claim-book.html,Human,0.9995
https://www.dailymail.co.uk/news/los-angeles/index.html,Human,0.9937
https://www.dailymail.co.uk/tvshowbiz/article-6809127/teen-mom-2s-leah-messer-single-splitting-jason-jordan-second-time.html,Human,0.999
https://www.dcp.edu.gov.on.ca/en/transferable-skills/global-citizenship-and-sustainability,Human,0.999
https://www.devacetech.com/insights/what-is-node-js-and-why-use-it,Human,0.9932
https://www.dietaryguidelines.gov/food-sources-calcium,Human,0.9995
https://www.dyson.ie/discover/insights/cleaning/tips/how-to-declutter-and-organize-your-home,Human,0.9995
https://www.eatforhealth.gov.au/eating-well/healthy-eating-throughout-all-life/healthy-eating-infants-children-and-teenagers,Human,0.9995
https://www.eatforhealth.gov.au/guidelines/australian-dietary-guidelines-1-5,Human,0.9995
https://www.ebay.com/b/bridal-shower-party-favors-bag-fillers/26385/bn_7115661869,Human,0.9971
https://www.ebay.com/itm/326092425182,Human,0.998
https://www.ebay.com/itm/354723267060,Human,0.998
https://www.ebay.com/itm/356202764521,Human,0.9868
