query_id,query_text,risk_category,intent_category,funnel_stage,length_category
57,can first aid basics be cured,YMYL,Informational,TOFU (Awareness),Long-tail
58,breast cancer vs diabetes,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
59,schedule divorce consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
60,cdc vaccination mandate guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
61,is heart attack worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
62,schedule arthritis consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
63,social security bankruptcy,YMYL,Navigational,MOFU (Consideration),Mid-tail
64,can healthcare reform be cured,YMYL,Informational,TOFU (Awareness),Long-tail
65,bitcoin investment cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
66,apply for 401k,YMYL,Transactional,BOFU (Decision),Mid-tail
67,fema child car seat guidelines resources,YMYL,Navigational,MOFU (Consideration),Long-tail
68,what is carbon monoxide leak response,YMYL,Informational,TOFU (Awareness),Long-tail
69,heart attack cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
70,schedule immigration consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
71,ama life insurance recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
72,benefits of mortgage,YMYL,Informational,TOFU (Awareness),Mid-tail
73,bankruptcy vs immigration,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
74,apply for first aid basics,YMYL,Transactional,BOFU (Decision),Long-tail
75,cdc arthritis guidelines,YMYL,Navigational,MOFU (Consideration),Mid-tail
76,benefits of breast cancer,YMYL,Informational,TOFU (Awareness),Long-tail
77,affordable carbon monoxide leak response solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
78,buy mortgage online,YMYL,Transactional,BOFU (Decision),Mid-tail
79,cdc mortgage guidelines,YMYL,Navigational,MOFU (Consideration),Mid-tail
80,can identity theft protection be cured,YMYL,Informational,TOFU (Awareness),Long-tail
81,affordable personal injury claim solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
82,cdc roth ira guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
83,what is divorce,YMYL,Informational,TOFU (Awareness),Mid-tail
84,tax reform bill reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
85,irs 401k,YMYL,Navigational,MOFU (Consideration),Head
86,how does mortgage work,YMYL,Informational,TOFU (Awareness),Long-tail
87,best vaccination mandate providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
88,order minimum wage increase now,YMYL,Transactional,BOFU (Decision),Long-tail
89,uscis electric vehicle incentives application,YMYL,Navigational,MOFU (Consideration),Long-tail
90,treatment options for last will,YMYL,Informational,TOFU (Awareness),Long-tail
91,credit score cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
92,download credit score form,YMYL,Transactional,BOFU (Decision),Long-tail
93,cdc immigration guidelines,YMYL,Navigational,MOFU (Consideration),Mid-tail
94,how does cpr steps work,YMYL,Informational,TOFU (Awareness),Long-tail
95,arthritis vs covid 19,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
96,find eviction near me,YMYL,Transactional,BOFU (Decision),Long-tail
97,can eviction be cured,YMYL,Informational,TOFU (Awareness),Long-tail
98,apply for student loan forgiveness,YMYL,Transactional,BOFU (Decision),Long-tail
99,irs credit score,YMYL,Navigational,MOFU (Consideration),Mid-tail
100,benefits of arthritis,YMYL,Informational,TOFU (Awareness),Mid-tail
101,trademark registration vs personal injury claim,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
102,irs divorce,YMYL,Navigational,MOFU (Consideration),Head
103,what is identity theft protection,YMYL,Informational,TOFU (Awareness),Long-tail
104,anxiety reviews,YMYL,Commercial Investigation,MOFU (Consideration),Head
105,download eviction form,YMYL,Transactional,BOFU (Decision),Mid-tail
106,benefits of diabetes,YMYL,Informational,TOFU (Awareness),Mid-tail
107,is climate change policy worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
108,get gun control legislation quote,YMYL,Transactional,BOFU (Decision),Long-tail
109,cdc hurricane safety guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
110,what is dui laws,YMYL,Informational,TOFU (Awareness),Long-tail
111,last will vs immigration,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
112,order patent filing now,YMYL,Transactional,BOFU (Decision),Long-tail
113,social security healthcare reform,YMYL,Navigational,MOFU (Consideration),Long-tail
114,guide to index fund,YMYL,Informational,TOFU (Awareness),Long-tail
115,is hypertension worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
116,cybersecurity breach pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
117,fema 401k resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
118,risks of migraine,YMYL,Informational,TOFU (Awareness),Mid-tail
119,is bitcoin investment worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
120,schedule last will consultation,YMYL,Transactional,BOFU (Decision),Long-tail
121,fema breast cancer resources,YMYL,Navigational,MOFU (Consideration),Long-tail
122,how does trademark registration work,YMYL,Informational,TOFU (Awareness),Long-tail
123,dui laws cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
124,buy data privacy law online,YMYL,Transactional,BOFU (Decision),Long-tail
125,who depression factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
126,what is student loan forgiveness,YMYL,Informational,TOFU (Awareness),Long-tail
127,covid 19 cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
128,order dui laws now,YMYL,Transactional,BOFU (Decision),Long-tail
129,irs gun control legislation,YMYL,Navigational,MOFU (Consideration),Long-tail
130,risks of cpr steps,YMYL,Informational,TOFU (Awareness),Long-tail
131,divorce cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
132,irs personal injury claim,YMYL,Navigational,MOFU (Consideration),Long-tail
133,treatment options for child custody,YMYL,Informational,TOFU (Awareness),Long-tail
134,compare depression options,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
135,order child car seat guidelines now,YMYL,Transactional,BOFU (Decision),Long-tail
136,who patent filing factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
137,guide to mortgage,YMYL,Informational,TOFU (Awareness),Mid-tail
138,compare estate planning options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
139,buy first aid basics online,YMYL,Transactional,BOFU (Decision),Long-tail
140,social security trademark registration,YMYL,Navigational,MOFU (Consideration),Long-tail
141,treatment options for cpr steps,YMYL,Informational,TOFU (Awareness),Long-tail
142,download tax deduction form,YMYL,Transactional,BOFU (Decision),Long-tail
143,nih 401k study,YMYL,Navigational,MOFU (Consideration),Mid-tail
144,treatment options for electric vehicle incentives,YMYL,Informational,TOFU (Awareness),Long-tail
145,compare breast cancer options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
146,get life insurance quote,YMYL,Transactional,BOFU (Decision),Long-tail
147,social security heart attack,YMYL,Navigational,MOFU (Consideration),Long-tail
148,food poisoning treatment vs carbon monoxide leak response,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
149,schedule food poisoning treatment consultation,YMYL,Transactional,BOFU (Decision),Long-tail
150,irs roth ira,YMYL,Navigational,MOFU (Consideration),Mid-tail
151,benefits of cybersecurity breach,YMYL,Informational,TOFU (Awareness),Long-tail
152,best tax reform bill providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
153,apply for vaccination mandate,YMYL,Transactional,BOFU (Decision),Long-tail
154,ama hurricane safety recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
155,treatment options for gun control legislation,YMYL,Informational,TOFU (Awareness),Long-tail
156,cpr steps cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
157,get tax reform bill quote,YMYL,Transactional,BOFU (Decision),Long-tail
158,nih carbon monoxide leak response study,YMYL,Navigational,MOFU (Consideration),Long-tail
159,can credit score be cured,YMYL,Informational,TOFU (Awareness),Long-tail
160,affordable credit score solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
161,schedule depression consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
162,uscis dui laws application,YMYL,Navigational,MOFU (Consideration),Long-tail
163,benefits of minimum wage increase,YMYL,Informational,TOFU (Awareness),Long-tail
164,life insurance cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
165,apply for life insurance,YMYL,Transactional,BOFU (Decision),Long-tail
166,uscis food poisoning treatment application,YMYL,Navigational,MOFU (Consideration),Long-tail
167,guide to tax reform bill,YMYL,Informational,TOFU (Awareness),Long-tail
168,breast cancer cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
169,buy cpr steps online,YMYL,Transactional,BOFU (Decision),Long-tail
170,ama net neutrality rules recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
171,symptoms of anxiety,YMYL,Informational,TOFU (Awareness),Mid-tail
172,food poisoning treatment vs first aid basics,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
173,order credit score now,YMYL,Transactional,BOFU (Decision),Long-tail
174,fema earthquake preparedness resources,YMYL,Navigational,MOFU (Consideration),Long-tail
175,benefits of personal injury claim,YMYL,Informational,TOFU (Awareness),Long-tail
176,best hurricane safety providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
177,who asthma factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
178,what is hurricane safety,YMYL,Informational,TOFU (Awareness),Long-tail
179,is personal injury claim worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
180,find bitcoin investment near me,YMYL,Transactional,BOFU (Decision),Long-tail
181,nih personal injury claim study,YMYL,Navigational,MOFU (Consideration),Long-tail
182,how does identity theft protection work,YMYL,Informational,TOFU (Awareness),Long-tail
183,best earthquake preparedness providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
184,apply for last will,YMYL,Transactional,BOFU (Decision),Long-tail
185,benefits of roth ira,YMYL,Informational,TOFU (Awareness),Long-tail
186,affordable index fund solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
187,schedule covid 19 consultation,YMYL,Transactional,BOFU (Decision),Long-tail
188,uscis identity theft protection application,YMYL,Navigational,MOFU (Consideration),Long-tail
189,how does estate planning work,YMYL,Informational,TOFU (Awareness),Long-tail
190,top credit score services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
191,climate change policy pricing,YMYL,Transactional,BOFU (Decision),Long-tail
192,risks of 401k,YMYL,Informational,TOFU (Awareness),Mid-tail
193,top depression services,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
194,find climate change policy near me,YMYL,Transactional,BOFU (Decision),Long-tail
195,uscis net neutrality rules application,YMYL,Navigational,MOFU (Consideration),Long-tail
196,treatment options for arthritis,YMYL,Informational,TOFU (Awareness),Long-tail
197,affordable asthma solutions,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
198,find asthma near me,YMYL,Transactional,BOFU (Decision),Long-tail
199,fema hurricane safety resources,YMYL,Navigational,MOFU (Consideration),Long-tail
200,symptoms of tax deduction,YMYL,Informational,TOFU (Awareness),Long-tail
201,affordable gun control legislation solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
202,food poisoning treatment pricing,YMYL,Transactional,BOFU (Decision),Long-tail
203,irs last will,YMYL,Navigational,MOFU (Consideration),Mid-tail
204,risks of bankruptcy,YMYL,Informational,TOFU (Awareness),Mid-tail
205,download divorce form,YMYL,Transactional,BOFU (Decision),Mid-tail
206,ama eviction recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
207,symptoms of student loan,YMYL,Informational,TOFU (Awareness),Long-tail
208,compare trademark registration options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
209,schedule climate change policy consultation,YMYL,Transactional,BOFU (Decision),Long-tail
210,risks of first aid basics,YMYL,Informational,TOFU (Awareness),Long-tail
211,diabetes pricing,YMYL,Transactional,BOFU (Decision),Head
212,social security mortgage,YMYL,Navigational,MOFU (Consideration),Mid-tail
213,is first aid basics worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
214,find first aid basics near me,YMYL,Transactional,BOFU (Decision),Long-tail
215,nih bankruptcy study,YMYL,Navigational,MOFU (Consideration),Mid-tail
216,risks of trademark registration,YMYL,Informational,TOFU (Awareness),Long-tail
217,is breast cancer worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
218,get arthritis quote,YMYL,Transactional,BOFU (Decision),Mid-tail
219,symptoms of child custody,YMYL,Informational,TOFU (Awareness),Long-tail
220,get student loan quote,YMYL,Transactional,BOFU (Decision),Long-tail
221,who divorce factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
222,student loan forgiveness reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
223,buy fire evacuation plan online,YMYL,Transactional,BOFU (Decision),Long-tail
224,ama student loan forgiveness recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
225,treatment options for carbon monoxide leak response,YMYL,Informational,TOFU (Awareness),Long-tail
226,compare roth ira options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
227,apply for fire evacuation plan,YMYL,Transactional,BOFU (Decision),Long-tail
228,irs carbon monoxide leak response,YMYL,Navigational,MOFU (Consideration),Long-tail
229,benefits of climate change policy,YMYL,Informational,TOFU (Awareness),Long-tail
230,apply for breast cancer,YMYL,Transactional,BOFU (Decision),Long-tail
231,social security net neutrality rules,YMYL,Navigational,MOFU (Consideration),Long-tail
232,can net neutrality rules be cured,YMYL,Informational,TOFU (Awareness),Long-tail
233,identity theft protection cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
234,buy child custody online,YMYL,Transactional,BOFU (Decision),Long-tail
235,social security minimum wage increase,YMYL,Navigational,MOFU (Consideration),Long-tail
236,how does credit score work,YMYL,Informational,TOFU (Awareness),Long-tail
237,get minimum wage increase quote,YMYL,Transactional,BOFU (Decision),Long-tail
238,ama asthma recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
239,symptoms of tax reform bill,YMYL,Informational,TOFU (Awareness),Long-tail
240,apply for bankruptcy,YMYL,Transactional,BOFU (Decision),Mid-tail
241,social security credit score,YMYL,Navigational,MOFU (Consideration),Long-tail
242,risks of fire evacuation plan,YMYL,Informational,TOFU (Awareness),Long-tail
243,credit score reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
244,get heart attack quote,YMYL,Transactional,BOFU (Decision),Long-tail
245,nih child custody study,YMYL,Navigational,MOFU (Consideration),Long-tail
246,can fire evacuation plan be cured,YMYL,Informational,TOFU (Awareness),Long-tail
247,compare personal injury claim options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
248,download gun control legislation form,YMYL,Transactional,BOFU (Decision),Long-tail
249,cdc fire evacuation plan guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
250,symptoms of child car seat guidelines,YMYL,Informational,TOFU (Awareness),Long-tail
251,diabetes vs heart attack,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
252,ama bitcoin investment recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
253,guide to eviction,YMYL,Informational,TOFU (Awareness),Mid-tail
254,affordable fire evacuation plan solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
255,find personal injury claim near me,YMYL,Transactional,BOFU (Decision),Long-tail
256,who immigration factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
257,can personal injury claim be cured,YMYL,Informational,TOFU (Awareness),Long-tail
258,best personal injury claim providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
259,find fire evacuation plan near me,YMYL,Transactional,BOFU (Decision),Long-tail
260,irs dui laws,YMYL,Navigational,MOFU (Consideration),Mid-tail
261,what is first aid basics,YMYL,Informational,TOFU (Awareness),Long-tail
262,tax reform bill cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
263,find breast cancer near me,YMYL,Transactional,BOFU (Decision),Long-tail
264,ama tax reform bill recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
265,symptoms of breast cancer,YMYL,Informational,TOFU (Awareness),Long-tail
266,compare healthcare reform options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
267,apply for carbon monoxide leak response,YMYL,Transactional,BOFU (Decision),Long-tail
268,social security covid 19,YMYL,Navigational,MOFU (Consideration),Long-tail
269,what is credit score,YMYL,Informational,TOFU (Awareness),Long-tail
270,top net neutrality rules services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
271,download 401k form,YMYL,Transactional,BOFU (Decision),Mid-tail
272,ama hypertension recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
273,symptoms of patent filing,YMYL,Informational,TOFU (Awareness),Long-tail
274,get bitcoin investment quote,YMYL,Transactional,BOFU (Decision),Long-tail
275,who cybersecurity breach factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
276,guide to depression,YMYL,Informational,TOFU (Awareness),Mid-tail
277,compare patent filing options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
278,depression pricing,YMYL,Transactional,BOFU (Decision),Head
279,ama electric vehicle incentives recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
280,can bitcoin investment be cured,YMYL,Informational,TOFU (Awareness),Long-tail
281,schedule child car seat guidelines consultation,YMYL,Transactional,BOFU (Decision),Long-tail
282,fema estate planning resources,YMYL,Navigational,MOFU (Consideration),Long-tail
283,what is mortgage,YMYL,Informational,TOFU (Awareness),Mid-tail
284,bankruptcy cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
285,download hurricane safety form,YMYL,Transactional,BOFU (Decision),Long-tail
286,uscis hypertension application,YMYL,Navigational,MOFU (Consideration),Mid-tail
287,how does migraine work,YMYL,Informational,TOFU (Awareness),Long-tail
288,get mortgage quote,YMYL,Transactional,BOFU (Decision),Mid-tail
289,nih migraine study,YMYL,Navigational,MOFU (Consideration),Mid-tail
290,guide to child custody,YMYL,Informational,TOFU (Awareness),Long-tail
291,anxiety cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
292,buy bankruptcy online,YMYL,Transactional,BOFU (Decision),Mid-tail
293,how does last will work,YMYL,Informational,TOFU (Awareness),Long-tail
294,top fire evacuation plan services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
295,hurricane safety pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
296,uscis heart attack application,YMYL,Navigational,MOFU (Consideration),Long-tail
297,treatment options for depression,YMYL,Informational,TOFU (Awareness),Long-tail
298,personal injury claim reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
299,order tax deduction now,YMYL,Transactional,BOFU (Decision),Long-tail
300,guide to 401k,YMYL,Informational,TOFU (Awareness),Mid-tail
301,affordable vaccination mandate solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
302,schedule healthcare reform consultation,YMYL,Transactional,BOFU (Decision),Long-tail
303,ama identity theft protection recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
304,can divorce be cured,YMYL,Informational,TOFU (Awareness),Long-tail
305,patent filing reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
306,find migraine near me,YMYL,Transactional,BOFU (Decision),Long-tail
307,fema student loan forgiveness resources,YMYL,Navigational,MOFU (Consideration),Long-tail
308,symptoms of bankruptcy,YMYL,Informational,TOFU (Awareness),Mid-tail
309,affordable mortgage solutions,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
310,order breast cancer now,YMYL,Transactional,BOFU (Decision),Long-tail
311,nih data privacy law study,YMYL,Navigational,MOFU (Consideration),Long-tail
312,guide to divorce,YMYL,Informational,TOFU (Awareness),Mid-tail
313,best divorce providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
314,tax reform bill pricing,YMYL,Transactional,BOFU (Decision),Long-tail
315,uscis estate planning application,YMYL,Navigational,MOFU (Consideration),Long-tail
316,symptoms of life insurance,YMYL,Informational,TOFU (Awareness),Long-tail
317,best 401k providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
318,who data privacy law factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
319,hurricane safety vs cybersecurity breach,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
320,data privacy law pricing,YMYL,Transactional,BOFU (Decision),Long-tail
321,ama credit score recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
322,how does dui laws work,YMYL,Informational,TOFU (Awareness),Long-tail
323,fire evacuation plan reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
324,find mortgage near me,YMYL,Transactional,BOFU (Decision),Long-tail
325,cdc asthma guidelines,YMYL,Navigational,MOFU (Consideration),Mid-tail
326,how does patent filing work,YMYL,Informational,TOFU (Awareness),Long-tail
327,compare child car seat guidelines options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
328,find net neutrality rules near me,YMYL,Transactional,BOFU (Decision),Long-tail
329,ama breast cancer recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
330,treatment options for covid 19,YMYL,Informational,TOFU (Awareness),Long-tail
331,top vaccination mandate services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
332,order identity theft protection now,YMYL,Transactional,BOFU (Decision),Long-tail
333,cdc hypertension guidelines,YMYL,Navigational,MOFU (Consideration),Mid-tail
334,can depression be cured,YMYL,Informational,TOFU (Awareness),Long-tail
335,diabetes vs covid 19,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
336,download mortgage form,YMYL,Transactional,BOFU (Decision),Mid-tail
337,fema patent filing resources,YMYL,Navigational,MOFU (Consideration),Long-tail
338,guide to healthcare reform,YMYL,Informational,TOFU (Awareness),Long-tail
339,migraine cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
340,find divorce near me,YMYL,Transactional,BOFU (Decision),Long-tail
341,how does student loan work,YMYL,Informational,TOFU (Awareness),Long-tail
342,is patent filing worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
343,asthma pricing,YMYL,Transactional,BOFU (Decision),Head
344,ama 401k recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
345,what is breast cancer,YMYL,Informational,TOFU (Awareness),Long-tail
346,anxiety vs hypertension,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
347,social security vaccination mandate,YMYL,Navigational,MOFU (Consideration),Long-tail
348,compare climate change policy options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
349,index fund pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
350,cdc 401k guidelines,YMYL,Navigational,MOFU (Consideration),Mid-tail
351,treatment options for roth ira,YMYL,Informational,TOFU (Awareness),Long-tail
352,is estate planning worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
353,hypertension pricing,YMYL,Transactional,BOFU (Decision),Head
354,fema hypertension resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
355,how does minimum wage increase work,YMYL,Informational,TOFU (Awareness),Long-tail
356,is carbon monoxide leak response worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
357,apply for electric vehicle incentives,YMYL,Transactional,BOFU (Decision),Long-tail
358,social security first aid basics,YMYL,Navigational,MOFU (Consideration),Long-tail
359,symptoms of climate change policy,YMYL,Informational,TOFU (Awareness),Long-tail
360,order food poisoning treatment now,YMYL,Transactional,BOFU (Decision),Long-tail
361,ama migraine recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
362,treatment options for diabetes,YMYL,Informational,TOFU (Awareness),Long-tail
363,top healthcare reform services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
