fever_id,claim,gold,originality,gpt-4o,gpt-5,gold_evidence
18030,Floyd Mayweather Jr. has made 30 career boxing knockouts in different special event professional boxing fights.,True,False,False,False,Floyd_Mayweather_Jr.#10: He finished his career with a record of 26 wins without a loss or draw in world title fights -LRB- 10 by KO -RRB- ; 23 wins -LRB- 9 KOs -RRB- in lineal title fights ; 24 wins -LRB- 7 KOs -RRB- against former or current world titlists ; 12 wins -LRB- 3 KOs -RRB- against former or current lineal champions ; and 2 wins -LRB- 1 KO -RRB- against International Boxing Hall of Fame inductees . KO knockout International Boxing Hall of Fame International Boxing Hall of Fame
20121,Rob Sheridan was born in 1980.,False,False,True,False,"Rob_Sheridan#0: Rob Sheridan -LRB- born October 11 , 1979 -RRB- is an American graphic designer , director , and photographer best known for his extensive work with the band Nine Inch Nails . graphic designer graphic designer photographer photographer American United States director Art director Nine Inch Nails Nine Inch Nails"
20603,"Yemen does not have an area of 203,850 square miles.",True,False,True,False,"Yemen#1: Yemen is the second-largest country in the peninsula , occupying 527,970 km2 -LRB- 203,850 sq mi -RRB- ."
24204,Pink is an actress.,True,True,False,True,"Pink_-LRB-singer-RRB-#0: Alecia Beth Moore -LRB- born September 8 , 1979 -RRB- , known professionally as Pink -LRB- frequently stylized as -RRB- , is an American singer , songwriter , dancer , and actress ."
24479,Charles de Gaulle was a leader in the French Resistance.,True,True,False,True,"Charles_de_Gaulle#12: Despite frosty relations with Britain and especially the United States , he emerged as the undisputed leader of the French resistance ."
25551,The Washington Wizards won a title in 1975.,True,False,False,False,"Washington_Wizards#12: They have won four conference titles -LRB- 1971 , 1975 , 1978 , 1979 -RRB- , and seven division titles -LRB- 1971 , 1972 , 1973 , 1974 , 1975 , 1979 , 2017 -RRB- . 1978 1978 NBA Finals 1971 1970–71 NBA season 1975 1974–75 NBA season 1979 1978–79 NBA season 1972 1971–72 NBA season 1973 1972–73 NBA season 1974 1973–74 NBA season 2017 2016–17 NBA season"
26281,Legendary Entertainment has been a subsidiary of Wanda Group since 2016.,True,True,False,False,"Legendary_Entertainment#2: Since 2016 , Legendary has been a subsidiary of the Chinese conglomerate Wanda Group . Wanda Group Wanda Group"
27416,"University of Chicago Law School is ranked first for ""Faculty quality based on American Academy of Arts and Sciences Membership.""",True,False,False,True,"University_of_Chicago_Law_School#6: Chicago is ranked second by Brian Leiter of the University of Chicago Law School on the `` Top 15 Schools From Which the Most ` Prestigious ' Law Firms Hire New Lawyers , '' and first for `` Faculty quality based on American Academy of Arts and Sciences Membership . '' Chicago Chicago University of Chicago University of Chicago Brian Leiter Brian Leiter"
32429,"Benjamin Franklin was born on April 17th, 1790.",True,False,False,False,"Benjamin_Franklin#0: Benjamin Franklin FRS , FRSE -LRB- April 17 , 1790 -RRB- was one of the Founding Fathers of the United States . FRS Fellow of the Royal Society FRSE Royal Society of Edinburgh Founding Fathers of the United States Founding Fathers of the United States"
34461,"Jewell is best known for her song ""Love or Lust,"" featured in Bill Duke's film, Deep Cover.",True,True,False,False,"Jewell_-LRB-singer-RRB-#3: She is best known for her song , `` Love or Lust , '' featured in Bill Duke 's film , Deep Cover , as well as for singing choruses to many classic West Coast rap songs such as Snoop Dogg 's `` Gin and Juice '' and Dr. Dre 's `` Let Me Ride '' . Bill Duke Bill Duke Deep Cover Deep Cover Snoop Dogg Snoop Dogg Gin and Juice Gin and Juice Dr. Dre Dr. Dre Let Me Ride Let Me Ride"
35237,Philomena is a film nominated for seven awards.,True,False,True,False,Philomena_-LRB-film-RRB-#9: It was also nominated for four BAFTA Awards and three Golden Globe Awards . BAFTA Awards British Academy Film Awards
36333,Underdog was directed by a Belgian film director.,True,True,False,True,"Underdog_-LRB-film-RRB-#1: Directed by Frederik Du Chau and written by Joe Piscatella , Adam Rifkin , and Craig A. Williams , the film stars Jim Belushi , Peter Dinklage , John Slattery , and Patrick Warburton with the voice talents of Jason Lee , Amy Adams , and Brad Garrett . Frederik Du Chau Frederik Du Chau Adam Rifkin Adam Rifkin Jim Belushi Jim Belushi Peter Dinklage Peter Dinklage John Slattery John Slattery Patrick Warburton Patrick Warburton Brad Garrett Brad Garrett Amy Adams Amy Adams Jason Lee Jason Lee (actor) Frederik_Du_Chau#0: Frederik Du Chau -LRB- born 15 May 1965 -RRB- is a Belgian film director , screenwriter and animator . film director film director screenwriter screenwriter animator animator"
37996,Victoria Palace Theatre is in a place named after Queen Elizabeth.,False,True,False,False,"Victoria_Palace_Theatre#0: Victoria Palace Theatre is a West End theatre in Victoria Street , in the City of Westminster , opposite Victoria Station . West End theatre West End theatre Victoria London Victoria station Victoria Street Victoria Street, London City of Westminster City of Westminster Victoria Station London Victoria station Victoria,_London#0: Victoria is a small district in the City of Westminster in central London , named after Victoria Street and Victoria Station and therefore , indirectly , after Queen Victoria . City of Westminster City of Westminster central London central London Victoria Station Victoria station (London) Queen Victoria Queen Victoria Victoria_Palace_Theatre#0: Victoria Palace Theatre is a West End theatre in Victoria Street , in the City of Westminster , opposite Victoria Station . West End theatre West End theatre Victoria London Victoria station Victoria Street Victoria Street, London City of Westminster City of Westminster Victoria Station London Victoria station"
38110,"The Adventures of Pluto Nash stars an actor that was born on February 5, 1961.",False,False,True,False,"The_Adventures_of_Pluto_Nash#0: The Adventures of Pluto Nash is a 2002 Australian-American science fiction action comedy film starring Eddie Murphy -LRB- in a dual role -RRB- and directed by Ron Underwood . Ron Underwood Ron Underwood Eddie Murphy Eddie Murphy science fiction science fiction film action action film comedy film comedy film Eddie_Murphy#0: Edward Regan Murphy -LRB- born April 3 , 1961 -RRB- is an American comedian , actor , writer , singer , and producer . The_Adventures_of_Pluto_Nash#1: The film co-stars Randy Quaid , Rosario Dawson , Joe Pantoliano , Jay Mohr , Luis Guzmán , James Rebhorn , Peter Boyle , Pam Grier , and John Cleese . Randy Quaid Randy Quaid Rosario Dawson Rosario Dawson Joe Pantoliano Joe Pantoliano Jay Mohr Jay Mohr Luis Guzmán Luis Guzmán James Rebhorn James Rebhorn Peter Boyle Peter Boyle Pam Grier Pam Grier John Cleese John Cleese John_Cleese#0: John Marwood Cleese -LRB- -LSB- ˈkliːz -RSB- born 27 October 1939 -RRB- is an English actor , voice actor , screenwriter , producer , and comedian . Jay_Mohr#0: Jon Ferguson Cox `` Jay '' Mohr -LRB- born Jon Ferguson Mohr ; August 23 , 1970 -RRB- is an American actor , comedian and radio host . radio host radio personality actor actor comedian comedian Joe_Pantoliano#0: Joseph Peter `` Joe '' Pantoliano -LRB- born September 12 , 1951 -RRB- , is an American character actor , who often plays shady characters , frequently criminals or corrupt police officers . character actor character actor Peter_Boyle#0: Peter Lawrence Boyle -LRB- October 8 , 1935 -- December 12 , 2006 -RRB- was an American character actor . character actor character actor Rosario_Dawson#0: Rosario Isabel Dawson -LRB- born May 9 , 1979 -RRB- is an American actress , producer , and comic book writer . Randy_Quaid#0: Randy Randall Rudy Quaid -LRB- born October 1 , 1950 -RRB- is an American actor . Luis_Guzmán#0: [missing] James_Rebhorn#0: James Robert Rebhorn -LRB- September 1 , 1948 -- March 21 , 2014 -RRB- was an American character actor who appeared in over 100 films , television series , and plays . American United States Pam_Grier#0: Pamela Suzette `` Pam '' Grier -LRB- born May 26 , 1949 -RRB- is an American actress . American United States actress actress"
38141,Rick Ross made more than eight studio albums.,False,True,True,True,"Rick_Ross#3: In 2009 , Ross founded the record label Maybach Music Group , on which he released his studio albums Deeper Than Rap -LRB- 2009 -RRB- , Teflon Don -LRB- 2010 -RRB- , God Forgives , I Do n't -LRB- 2012 -RRB- , Mastermind , Hood Billionaire -LRB- 2014 -RRB- , Black Market -LRB- 2015 -RRB- , and Rather You Than Me -LRB- 2017 -RRB- . Maybach Music Group Maybach Music Group Deeper Than Rap Deeper Than Rap Teflon Don Teflon Don (album) Mastermind Mastermind (Rick Ross album) Hood Billionaire Hood Billionaire Black Market Black Market (Rick Ross album) Rather You Than Me Rather You Than Me"
38654,Hannah and Her Sisters ends with a Christmas dinner.,False,False,True,False,Hannah_and_Her_Sisters#0: Hannah and Her Sisters is a 1986 American comedy-drama film which tells the intertwined stories of an extended family over two years that begins and ends with a family Thanksgiving dinner . comedy-drama film comedy-drama Thanksgiving dinner Thanksgiving#Thanksgiving dinner
41780,Britt Robertson was in the film series Girlboss.,True,True,False,False,"Britt_Robertson#15: That same year , she headlined the Netflix comedy television series Girlboss , portraying self-made millionaire Sophia Amoruso . Netflix Netflix comedy television series comedy television series Girlboss Girlboss self-made self-made man millionaire millionaire Sophia Amoruso Sophia Amoruso Britt_Robertson#15: That same year , she headlined the Netflix comedy television series Girlboss , portraying self-made millionaire Sophia Amoruso . Netflix Netflix comedy television series comedy television series Girlboss Girlboss self-made self-made man millionaire millionaire Sophia Amoruso Sophia Amoruso"
44347,Duff McKagan was born in May of 1964.,False,False,True,False,"Duff_McKagan#0: Michael Andrew `` Duff '' McKagan -LRB- born February 5 , 1964 -RRB- is an American musician , singer , songwriter and author ."
50529,Veep has won the Television Critics Association Award for Outstanding Achievement in Comedy.,True,False,True,False,"Veep#8: Its second and fourth seasons won the Writers Guild of America Award for Television : Comedy Series , with the third season winning the Television Critics Association Award for Outstanding Achievement in Comedy . Comedy Comedy (drama) Television Critics Association Award for Outstanding Achievement in Comedy TCA Award for Outstanding Achievement in Comedy Television Critics Association Award TCA Awards"
51323,Thomas Jefferson did not found the University of Virginia.,False,False,True,False,Thomas_Jefferson#28: He founded the University of Virginia after retiring from public office . Virginia Virginia University of Virginia University of Virginia
52907,The CONCACAF Champions League is almost an annual continental football club competition.,True,True,False,False,"CONCACAF_Champions_League#0: The CONCACAF Champions League is an annual continental football club competition organized by CONCACAF for the top football clubs in North America , Central America and the Caribbean . North America North America Central America Central America Caribbean Caribbean CONCACAF CONCACAF football association football"
53760,Garden State was chosen in an official manner.,True,True,True,False,Garden_State_-LRB-film-RRB-#6: It was an official selection of the Sundance Film Festival . Sundance Sundance Film Festival Sundance Film Festival Sundance Film Festival
54411,Babur was born in 1483.,True,True,False,True,"Babur#0: Babur -LRB- -LSB- بابر , lit = Tiger , translit = Bābur -RSB- 14 February 148326 December 1530 -RRB- , born Ẓahīr-ud-Dīn Muḥammad -LRB- -LSB- ظهیرالدین محمد , translit = Ẓahīr ad-Dīn Muḥammad -RSB- -RRB- , was a conqueror from Central Asia who , following a series of setbacks , finally succeeded in laying the basis for the Mughal dynasty in the Indian subcontinent and became the first Mughal emperor . Mughal dynasty Mughal Empire Indian subcontinent Indian subcontinent Babur#0: Babur -LRB- -LSB- بابر , lit = Tiger , translit = Bābur -RSB- 14 February 148326 December 1530 -RRB- , born Ẓahīr-ud-Dīn Muḥammad -LRB- -LSB- ظهیرالدین محمد , translit = Ẓahīr ad-Dīn Muḥammad -RSB- -RRB- , was a conqueror from Central Asia who , following a series of setbacks , finally succeeded in laying the basis for the Mughal dynasty in the Indian subcontinent and became the first Mughal emperor . Mughal dynasty Mughal Empire Indian subcontinent Indian subcontinent Babur#0: Babur -LRB- -LSB- بابر , lit = Tiger , translit = Bābur -RSB- 14 February 148326 December 1530 -RRB- , born Ẓahīr-ud-Dīn Muḥammad -LRB- -LSB- ظهیرالدین محمد , translit = Ẓahīr ad-Dīn Muḥammad -RSB- -RRB- , was a conqueror from Central Asia who , following a series of setbacks , finally succeeded in laying the basis for the Mughal dynasty in the Indian subcontinent and became the first Mughal emperor . Mughal dynasty Mughal Empire Indian subcontinent Indian subcontinent Babur#0: Babur -LRB- -LSB- بابر , lit = Tiger , translit = Bābur -RSB- 14 February 148326 December 1530 -RRB- , born Ẓahīr-ud-Dīn Muḥammad -LRB- -LSB- ظهیرالدین محمد , translit = Ẓahīr ad-Dīn Muḥammad -RSB- -RRB- , was a conqueror from Central Asia who , following a series of setbacks , finally succeeded in laying the basis for the Mughal dynasty in the Indian subcontinent and became the first Mughal emperor . Mughal dynasty Mughal Empire Indian subcontinent Indian subcontinent"
55041,The Times is a website.,False,False,True,False,"The_Times#0: The Times is a British daily -LRB- Monday to Saturday -RRB- national newspaper based in London , England . London London national newspaper Newspaper#National The_Times#2: The Times and its sister paper The Sunday Times -LRB- founded in 1821 -RRB- are published by Times Newspapers , since 1981 a subsidiary of News UK , itself wholly owned by News Corp. . News UK News UK The Sunday Times The Sunday Times sister paper sister paper News Corp News Corp Sister_paper#0: A sister paper is one of two or more newspapers which share a common owner , but are published with different content , different names , and sometimes -LRB- but not necessarily -RRB- in different geographical areas . The_Times#9: For much more than a century The Times has been an integral and important part of the political structure of Great Britain . The_Times#15: The Times is the first newspaper to have borne that name , lending it to numerous other papers around the world , including The Times of India -LRB- founded in 1838 -RRB- , The Straits Times -LRB- Singapore -RRB- -LRB- 1845 -RRB- , The New York Times -LRB- 1851 -RRB- , The Irish Times -LRB- 1859 -RRB- , Le Temps -LRB- France -RRB- -LRB- 1861-1942 -RRB- , the Cape Times -LRB- South Africa -RRB- -LRB- 1872 -RRB- , the Los Angeles Times -LRB- 1881 -RRB- , the Trenton Times -LRB- 1882 -RRB- , The Seattle Times -LRB- 1891 -RRB- , The Manila Times -LRB- 1898 -RRB- , The Daily Times -LRB- Malawi -RRB- -LRB- 1900 -RRB- , El Tiempo -LRB- Colombia -RRB- -LRB- 1911 -RRB- , The Canberra Times -LRB- 1926 -RRB- , Times of Malta -LRB- 1935 -RRB- , and The Washington Times -LRB- 1982 -RRB- . The Times of India The Times of India The Straits Times The Straits Times The New York Times The New York Times The Irish Times The Irish Times Le Temps Le Temps (Paris) Cape Times Cape Times Los Angeles Times Los Angeles Times Trenton Times Trenton Times The Seattle Times The Seattle Times The Manila Times The Manila Times The Daily Times The Daily Times (Malawi) El Tiempo El Tiempo (Colombia) The Canberra Times The Canberra Times Times of Malta Times of Malta The Washington Times The Washington Times The_Times#21: The Times was printed in broadsheet format for 219 years , but switched to compact size in 2004 in an attempt to appeal more to younger readers and commuters using public transport . broadsheet broadsheet compact compact (newspaper) Broadsheet#0: A broadsheet is the largest newspaper format and is characterized by long vertical pages -LRB- typically 22 in -RRB- . newspaper format newspaper format"
55956,Adam Lambert was the first openly gay artist to top the album charts.,True,True,True,False,"Adam_Lambert#10: The album premiered at number one on the U.S. Billboard 200 , making him the first openly gay artist to top the album charts . Adam_Lambert#10: The album premiered at number one on the U.S. Billboard 200 , making him the first openly gay artist to top the album charts ."
56284,Chest sensation is one symptom of pulmonary embolism.,True,False,True,True,"Pulmonary_embolism#1: Symptoms of a PE may include shortness of breath , chest pain particularly upon breathing in , and coughing up blood . chest pain chest pain shortness of breath dyspnea Shortness_of_breath#1: The American Thoracic Society defines it as `` a subjective experience of breathing discomfort that consists of qualitatively distinct sensations that vary in intensity '' , and recommends evaluating dyspnea by assessing the intensity of the distinct sensations , the degree of distress involved , and its burden or impact on activities of daily living . American Thoracic Society American Thoracic Society activities of daily living activities of daily living"
60044,"None of the actors in Men in Black II were born on September 15, 1968.",False,True,True,True,"Men_in_Black_II#0: Men in Black II -LRB- stylized as MIIB -RRB- is a 2002 American science fiction action comedy film starring Tommy Lee Jones , Will Smith , Lara Flynn Boyle , Johnny Knoxville , Rosario Dawson , Tony Shalhoub and Rip Torn . Tommy Lee Jones Tommy Lee Jones Will Smith Will Smith Lara Flynn Boyle Lara Flynn Boyle Johnny Knoxville Johnny Knoxville Rosario Dawson Rosario Dawson Tony Shalhoub Tony Shalhoub Rip Torn Rip Torn science fiction science fiction film action comedy film action film#Subgenres Men in Black Men in Black (film) Will_Smith#0: Willard Carroll Smith Jr. -LRB- born September 15 , 1968 -RRB- is an American actor , producer , rapper , and songwriter ."
61641,Francis I of France had the popular nickname Francis of the Large Nose.,False,True,True,True,"Francis_I_of_France#11: He was also known as François au Grand Nez -LRB- `` Francis of the Large Nose '' -RRB- , the Grand Colas , and the Roi-Chevalier -LRB- the `` Knight-King '' -RRB- for his personal involvement in the wars against his great rival the Holy Roman Emperor and King of Spain Charles V. Holy Roman Emperor Holy Roman Emperor Charles V Emperor Charles V"
62298,Recovery is an Eminem song.,False,True,False,False,"Recovery_-LRB-Eminem_album-RRB-#0: Recovery is the seventh studio album by American rapper Eminem . Eminem Eminem Recovery_-LRB-Eminem_album-RRB-#2: Originally planned to be released as Relapse 2 , the album was renamed to Recovery when Eminem found the music of the new album different from its predecessor . Eminem Eminem Relapse Relapse (Eminem album) Recovery_-LRB-Eminem_album-RRB-#5: Production of the album took place during 2009 to 2010 at several recording studios and was handled by various record producers , including Alex da Kid , Just Blaze , Boi-1da , Jim Jonsin , DJ Khalil , Mr. Porter , and Dr. Dre . Alex da Kid Alex da Kid Boi-1da Boi-1da Dr. Dre Dr. Dre DJ Khalil DJ Khalil Jim Jonsin Jim Jonsin Just Blaze Just Blaze Mr. Porter Kon Artis Recovery_-LRB-Eminem_album-RRB-#6: Eminem also collaborated with artists such as Pink , Lil Wayne , Slaughterhouse and Rihanna for the album . Eminem Eminem Pink Pink (singer) Lil Wayne Lil Wayne Slaughterhouse Slaughterhouse (group) Rihanna Rihanna Recovery_-LRB-Eminem_album-RRB-#7: Recovery featured more introspective and emotional content than its predecessor and the theme of the album revolved around his positive changes , anxiety , and emotional drives . Recovery_-LRB-Eminem_album-RRB-#8: To promote the album , he performed the album 's songs live on televised shows , at award ceremonies , musical events and also headed The Recovery Tour . The Recovery Tour The Recovery Tour Recovery_-LRB-Eminem_album-RRB-#9: It spawned four singles ; `` Not Afraid '' , `` Love the Way You Lie '' , `` No Love '' , and `` Space Bound '' , with the former two both reaching number one on the Billboard Hot 100 . Not Afraid Not Afraid Love the Way You Lie Love the Way You Lie No Love No Love Space Bound Space Bound Recovery_-LRB-Eminem_album-RRB-#10: The album has sold over 4 million copies in the United States and nearly 10 million copies worldwide . Recovery_-LRB-Eminem_album-RRB-#15: Recovery went on to become the best selling album of 2010 in the US and worldwide . Recovery_-LRB-Eminem_album-RRB-#16: At the 2011 Grammys It was nominated for Album of the Year , Song of the Year and Record of the Year for the Album and the international chart topping single `` Love the Way You Lie '' . Love the Way You Lie Love the Way You Lie 2011 Grammys 2011 Grammys Album of the Year Grammy Award for Album of the Year Song of the Year Grammy Award for Song of the Year Record of the Year Grammy Award for Record of the Year"
63627,Rhythm Nation was covered by an American singer and songwriter.,True,False,True,True,"Rhythm_Nation#23: It has been covered by Pink , Crystal Kay , and Girls ' Generation and has also been performed on Glee , The X-Factor , and Britain 's Got Talent . Pink Pink (singer) Crystal Kay Crystal Kay Glee Glee (TV series) The X-Factor The X-Factor Pink_-LRB-singer-RRB-#0: Alecia Beth Moore -LRB- born September 8 , 1979 -RRB- , known professionally as Pink -LRB- frequently stylized as -RRB- , is an American singer , songwriter , dancer , and actress ."
64142,The Fame sold 4.7 million digital copies as of April 2016.,True,False,True,False,The_Fame#13: It has sold 4.7 million copies in the United States as of April 2016 and is the seventh best-selling digital album in history .
64660,Charles de Gaulle was used as the basis of a French political stance.,False,True,True,True,Charles_de_Gaulle#0: Charles André Joseph Marie de Gaulle -LRB- -LSB- ʃaʁl də ɡol -RSB- ; 22 November 1890 -- 9 November 1970 -RRB- was a French general and statesman . general army general
66211,Psych (season 2) originally aired off of the USA Network.,False,True,False,False,"Psych_-LRB-season_2-RRB-#0: The second season of Psych originally aired in the United States on USA Network from July 13 , 2007 to February 15 , 2008 . USA Network USA Network Psych Psych"
67818,"On January 5, 1998, Sonny Bono perished.",False,True,True,True,"Sonny_Bono#0: Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher . Cher Cher Sonny & Cher Sonny & Cher"
68043,Uranium-235 was discovered by a person who was born in August.,True,False,True,True,"Uranium-235#6: It was discovered in 1935 by Arthur Jeffrey Dempster . Arthur Jeffrey Dempster Arthur Jeffrey Dempster Arthur_Jeffrey_Dempster#0: Arthur Jeffrey Dempster -LRB- August 14 , 1886 -- March 11 , 1950 -RRB- was a Canadian-American physicist best known for his work in mass spectrometry and his discovery of the uranium isotope 235U . Canadian Canadians American United States physicist physicist mass spectrometry mass spectrometry uranium uranium isotope isotope Uranium-235#6: It was discovered in 1935 by Arthur Jeffrey Dempster . Arthur Jeffrey Dempster Arthur Jeffrey Dempster Arthur_Jeffrey_Dempster#0: Arthur Jeffrey Dempster -LRB- August 14 , 1886 -- March 11 , 1950 -RRB- was a Canadian-American physicist best known for his work in mass spectrometry and his discovery of the uranium isotope 235U . Canadian Canadians American United States physicist physicist mass spectrometry mass spectrometry uranium uranium isotope isotope Uranium-235#6: It was discovered in 1935 by Arthur Jeffrey Dempster . Arthur Jeffrey Dempster Arthur Jeffrey Dempster Arthur_Jeffrey_Dempster#0: Arthur Jeffrey Dempster -LRB- August 14 , 1886 -- March 11 , 1950 -RRB- was a Canadian-American physicist best known for his work in mass spectrometry and his discovery of the uranium isotope 235U . Canadian Canadians American United States physicist physicist mass spectrometry mass spectrometry uranium uranium isotope isotope"
69238,No Country for Old Men is a drama.,False,True,True,True,"No_Country_for_Old_Men_-LRB-film-RRB-#0: No Country for Old Men is a 2007 American neo-western neo-noir thriller film written and directed by Joel and Ethan Coen , based on Cormac McCarthy 's novel of the same name . No Country for Old Men No Country for Old Men Cormac McCarthy Cormac McCarthy neo-western Western (genre)#Contemporary Western neo-noir neo-noir thriller film thriller (genre) Joel and Ethan Coen Coen brothers novel of the same name No Country for Old Men"
69883,Chris Benoit is from North America.,False,True,True,True,"Chris_Benoit#0: Christopher Michael Benoit -LRB- -LSB- bəˈnwa -RSB- ; May 21 , 1967 -- June 24 , 2007 -RRB- was a Canadian professional wrestler . professional wrestler Professional wrestling"
70041,2 Hearts is a musical composition by Minogue.,True,True,True,False,"2_Hearts_-LRB-Kylie_Minogue_song-RRB-#0: `` 2 Hearts '' is a song recorded by Australian singer Kylie Minogue for her tenth studio album , X -LRB- 2007 -RRB- . Kylie Minogue Kylie Minogue X X (Kylie Minogue album) 2_Hearts_-LRB-Kylie_Minogue_song-RRB-#0: `` 2 Hearts '' is a song recorded by Australian singer Kylie Minogue for her tenth studio album , X -LRB- 2007 -RRB- . Kylie Minogue Kylie Minogue X X (Kylie Minogue album) 2_Hearts_-LRB-Kylie_Minogue_song-RRB-#0: `` 2 Hearts '' is a song recorded by Australian singer Kylie Minogue for her tenth studio album , X -LRB- 2007 -RRB- . Kylie Minogue Kylie Minogue X X (Kylie Minogue album) 2_Hearts_-LRB-Kylie_Minogue_song-RRB-#0: `` 2 Hearts '' is a song recorded by Australian singer Kylie Minogue for her tenth studio album , X -LRB- 2007 -RRB- . Kylie Minogue Kylie Minogue X X (Kylie Minogue album)"
72194,Mellila is a city.,True,True,True,False,"Melilla#0: Melilla -LRB- -LSB- məˈliːjə -RSB- ; -LSB- meˈliʎa -RSB- , -LSB- meˈliʝa -RSB- ; Mřič -LSB- , Maliliyyah -RRB- is a Spanish autonomous city located on the north coast of Africa , sharing a border with Morocco with an area of 12.3 km2 . Spanish Spain Africa Africa Morocco Morocco Melilla#1: Melilla , along with Ceuta , is one of two permanently inhabited Spanish cities in mainland Africa . Spanish Spain Africa Africa Ceuta Ceuta"
