query_id,query_text,ymyl_category,url,ai_class,confidence
468809,how to apply for immigration to canada,legal,https://gatewaypacific.ca/permanent-residence-in-canada,AI,99.98
8020275,eviction notice nj,legal,https://rentsafe.lease/nj-eviction-laws,AI,98.38
8020275,eviction notice nj,legal,https://newjerseyevictionlaw.com/law/how-to-evict-a-tenant-for-not-paying-the-rent-in-new-jersey,AI,98.96
7183571,visa to usa,legal,https://govassist.com/blog/step-by-step-guide-to-applying-for-a-us-visa,AI,99.91
7183571,visa to usa,legal,https://govassist.com/blog/step-by-step-guide-to-applying-for-a-us-visa,AI,99.91
8671826,travel to canada with green card,legal,https://rjimmigrationlaw.com/resources/can-a-us-permanent-resident-travel-to-canada-your-essential-guide,AI,98.51
8371350,new zealand immigration points calculator,legal,https://aspiringimmigration.kiwi/skilled-migrant,AI,99.5
588324,legal age for sex in new york state,legal,https://www.jonathansavella.com/blog/what-is-the-age-of-consent-in-new-york,AI,96.81
588324,legal age for sex in new york state,legal,https://www.danduboislaw.com/a-brief-guide-to-understanding-the-basics-of-ny-s-consent-laws,AI,98.99
8669942,tramite de visa para canada,legal,https://www.motaword.com/es/blog/your-guide-to-uscis-document-preparation,AI,99.68
2369225,relief from deportation,legal,https://visaandgreencard.com/blog/can-you-stop-a-deportation-order-in-progress,AI,99.73
8381470,north carolina divorce laws property,legal,https://themeadelawgroup.com/blog/fair-is-not-always-equal-understanding-asset-debt-division-during-your-ohio-divorce,AI,99.82
4811257,citizenship application time,legal,https://www.ohioimmigrationlawyer.com/blog/2024/11/how-can-you-expedite-the-naturalization-process,AI,96.23
3910538,residential lease agreement florida,legal,https://www.steadily.com/blog/colorado-rental-lease-agreement-laws-regulations,AI,100.0
1822465,divorce laws in pa marital property,legal,https://wrdlawfirm.com/can-you-divorce-without-splitting-assets,AI,100.0
3147321,applying for new zealand visa,legal,https://www.intergate-emigration.com/new-zealand/visitor-visa,AI,99.93
3147321,applying for new zealand visa,legal,https://www.nzil.co.nz/visas,AI,97.86
3147321,applying for new zealand visa,legal,https://www.tataaig.com/travel-insurance/new-zealand-work-visa-for-indians,AI,99.84
1967418,h4 visa approval time,legal,https://www.immi-usa.com/h4-visa,AI,98.47
463185,how can i apply for my citizenship for free,legal,https://rjimmigrationlaw.com/resources/how-do-i-apply-for-a-us-passport,AI,98.71
463185,how can i apply for my citizenship for free,legal,https://rjimmigrationlaw.com/resources/a-comprehensive-guide-to-the-u-s-citizenship-and-naturalization-test-10-common-questions,AI,99.78
4128000,washington state child support guidelines,legal,https://hodgsonlawoffices.com/blog/enforcing-washington-child-support-orders,AI,99.28
1848520,e2 visa business opportunities,legal,https://rjimmigrationlaw.com/resources/what-businesses-qualify-for-an-e2-visa,AI,99.94
6310641,can social security retirement be garnished,legal,https://www.oasinc.org/can-my-social-security-benefits-be-garnished,AI,98.03
6310641,can social security retirement be garnished,legal,https://morganlawyers.com/faq/social-security-benefits-can-creditor-garnish-bank-account-seize-social-security-funds,AI,97.95
1653231,benefits for divorced spouses of veterans,legal,https://themckinneylawgroup.com/navigating-tricare-benefits-post-divorce-what-a-tampa-divorce-attorney-wants-you-to-know,AI,99.9
6235750,australian student visa,legal,https://onederland.com.au/global-talent-visa-and-distinguished-talent-visa,AI,97.95
574106,l1b visa to green card,legal,https://immigrationgroup.com/insights/l1b-visa-to-green-card,AI,99.69
574106,l1b visa to green card,legal,https://pathtocanada.com/l1-visa-to-green-card-process,AI,99.91
574106,l1b visa to green card,legal,https://immigrationgroup.com/insights/l1b-to-l1a-transfer,AI,99.99
574106,l1b visa to green card,legal,https://peterchu.com/blogs/news/how-to-transition-from-h1b-to-eb2-green-card,AI,100.0
2589357,want to divorce husband,legal,https://provinziano.com/spousal-support/determining-spousal-support-key-factors-used-in-california,AI,99.52
2589357,want to divorce husband,legal,https://www.barrowsfirm.com/post/organizing-documents-for-divorce,AI,99.98
4642727,absolute divorce meaning,legal,https://www.tombushlaw.com/blog/understanding-civil-domestic-issues-absolute-divorce-vs-no-absolute-divorce,AI,100.0
4642727,absolute divorce meaning,legal,https://www.oandl-law.com/absolute-divorce,AI,99.4
6923332,portuguese citizenship,legal,https://www.henleyglobal.com/services/citizenship-descent/portugal,AI,98.7
2371089,renewal of australian visa,legal,https://aumglobal.com.au/blog-content/how-to-extend-your-australian-visitor-visa,AI,97.98
4892606,divorce papers online free,legal,https://www.1000attorneys.com/post/how-to-get-a-divorce-for-free-in-california-a-step-by-step-guide,AI,97.31
4892606,divorce papers online free,legal,https://www.lwazlaw.com/divorce/uncontested-divorce,AI,99.43
2605754,what is an eb-3 visa,legal,https://eb3.work/eb-3-visa-steps-your-roadmap-to-a-u-s-green-card,AI,99.72
5080739,how to serve divorce papers in california,legal,https://drlegalprocess.com/divorce-papers-by-mail-in-california,AI,99.99
975100,the lawyer who became dupont’s worst nightmare,legal,https://source.washu.edu/2025/03/exposing-forever-chemicals-rob-bilott-brings-his-fight-to-washu,AI,96.17
7990330,eb2 green card,legal,https://www.nnuimmigration.com/i-551,AI,98.81
4683254,applying for citizenship in ireland,legal,https://www.internationalcitizens.com/citizenship/ireland,AI,97.93
5275880,mortgage fraud cases,legal,https://www.respicio.ph/commentaries/mortgage-fraud-and-title-protection-in-deceptive-home-loans,AI,99.85
8760044,why india does not allow dual citizenship,legal,https://csglobalpartners.com/news-does-india-allow-dual-citizenship,AI,99.88
8760044,why india does not allow dual citizenship,legal,https://www.henleyglobal.com/newsroom/industry-insights/countries-dont-allow-dual-citizenship-and-why-it-matters,AI,99.93
390258,freedom of speech court cases recent,legal,https://www.numberanalytics.com/blog/navigating-first-amendment-law,AI,99.99
314658,e3 visa pilot,legal,https://aerocadet.com/atpl_au.html,AI,99.95
19484,273.5(a) inflict corporal injury on spouse/cohabitant,legal,https://www.prizzialegalteam.com/orange-county-domestic-violence-lawyer/what-is-penal-code-273-5-pc-corporal-injury-to-spouse-or-cohabitant,AI,99.27
4965933,fees to renew green card,legal,https://immigrationhelpla.com/green-card-renewal,AI,97.58
477602,how to tell kids about divorce,legal,https://themckinneylawgroup.com/is-your-ex-using-your-children-as-a-weapon-how-to-manage-emotional-manipulation,AI,99.57
5627844,us immigration process steps,legal,https://alliumlawpllc.com/permanent-residency-green-cards,AI,98.67
941911,sue netflix,legal,https://cisloandthomas.com/pepperdine-university-sues-netflix-and-warner-bros-for-trademark-infringement,AI,99.5
5283984,muqeem exit re entry visa check,legal,https://greenlandoep.com/check-muqeem-exit-re-entry-visa-status,AI,99.64
5627798,us f1 visa slots,legal,https://gehilawindia.com/book-us-visa-appointment-in-india,AI,99.97
464218,how do you file for divorce in illinois,legal,https://annaklaw.com/il-divorce-process,AI,99.96
464218,how do you file for divorce in illinois,legal,https://annaklaw.com/il-divorce-process,AI,99.96
464218,how do you file for divorce in illinois,legal,https://annaklaw.com/contested-vs-uncontested-divorce-il,AI,96.45
3241102,canada work visa,legal,https://patricebrunetavocats.com/en/how-to-extend-work-permit-canada,AI,99.62
4771573,california dui school,legal,https://www.jacksonbibby.com,AI,99.6
3123439,albania visa free for indian,legal,https://www.nivabupa.com/travel-insurance-articles/albania-visa-for-indians.html,AI,99.78
4892590,divorce and remarriage,legal,https://lawyerkevin.com/what-to-expect-during-your-divorce-process,AI,96.8
3930689,russia tourist visa,legal,https://visa-russian.ru/en/help/tourist,AI,97.97
