scifact_id,claim,classification
58,"APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.",false
60,"ART has no effect on the infectiveness of HIV-positive people.",false
61,"ART substantially reduces infectiveness of HIV-positive people.",true
67,"Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.",true
68,"Activated Cdk5 regulates DNA damage-induced neuronal death.",true
69,"Activation of PPM1D enhances p53 function.",false
70,"Activation of PPM1D suppresses p53 function.",true
71,"Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.",true
76,"Active Ly49Q induces neutrophil polarization.",true
77,"Active Ly49Q prevents neutrophil polarization.",false
78,"Active caspase-11 participate in regulating phagosome-lysosome fusion.",true
79,"Active caspase-11 protein promotes pyroptosis.",true
85,"Adult tissue-resident macrophages are seeded before birth.",true
86,"Adult tissue-resident macrophages are seeded before birth.",true
88,"Adult tissue-resident macrophages possess a self-renewing capacity.",true
93,"Aggravated inflammation is dependent on NLRP3 inflammasome activation.",true
98,"Alirocumab treatment reduces apo(a) fractional clearance rate.",false
100,"All hematopoietic stem cells segregate their chromosomes randomly.",true
104,"Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.",false
105,"Alteration of origin firing causes changes in termination zones of Okazaki fragments.",false
106,"Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.",false
108,"Amitriptyline is an effective treatment for chronic tension-type headaches.",true
109,"An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.",true
111,"Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.",true
112,"Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.",false
113,"Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.",true
114,"Anthrax spores are very difficult to dispose once they are dispersed.",true
115,"Anthrax spores can be disposed of easily after they are dispersed.",false
116,"Anthrax spores remain deadly until affected areas are decontaminated.",true
118,"Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile",true
119,"Antidepressants increase the severity of migraines.",false
120,"Antidepressants reduce the severity of migraines.",true
121,"Antimicrobial agents are less effective due to the pressure of antimicrobial usage.",true
122,"Antimicrobial agents are more effective due to the pressure of antimicrobial usage.",false
123,"Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.",false
124,"Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.",true
129,"Articles published in open access format are less likely to be cited than traditional journals.",false
130,"Articles published in open access format are more likely to be cited than traditional journals.",true
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",true
137,"Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.",true
138,"Asymptomatic visual impairment screening in elderly populations leads to improved vision.",false
141,"Auditory entrainment is strengthened when people see congruent visual and auditory information.",true
142,"Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.",false
143,"Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.",true
144,"Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.",true
146,"Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.",true
148,"Autophagy declines in aged organisms.",true
149,"Autophagy deficiency in the liver increases vulnerability to insulin resistance.",false
152,"B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.",true
155,"BCL-2 activation antagonizes the apoptotic effects of c-Myc.",true
156,"BCL-2 promotes the apoptotic effects of c-Myc.",false
157,"BLM gene encodes RecQ-class DNA helicase.",true
159,"BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.",true
160,"Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.",true
163,"Bariatric surgery has a positive impact on mental health.",true
164,"Bariatric surgery increases rates of colorectal cancer.",true
165,"Bariatric surgery increases rates of postmenopausal breast cancer.",true
166,"Bariatric surgery leads to negative outcomes in mental health.",false
167,"Bariatric surgery leads to positive outcomes in mental health.",true
168,"Bariatric surgery reduces colorectal cancer.",false
169,"Bariatric surgery reduces postmenopausal breast cancer.",false
171,"Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).",false
172,"Basophils promote disease development in patients with systemic lupus erythematosus (SLE).",true
177,"Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.",true
178,"Birth-weight is negatively associated with breast cancer.",false
179,"Birth-weight is positively associated with breast cancer.",true
180,"Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.",false
181,"Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.",true
183,"Bone marrow cells contribute to adult macrophage compartments.",false
184,"Bone marrow cells don't contribute to adult macrophage compartments.",true
185,"Breast cancer development is determined exclusively by genetic factors.",false
189,"Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.",true
196,"C2 works synergistically with A-769662 to activate dephosphorylated AMPK.",true
197,"CCL19 is a ligand for CCR7.",true
200,"CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.",true
201,"CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.",true
203,"CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.",false
208,"CHEK2 is not associated with breast cancer.",true
210,"COPI coatmer is involved in lipid homeostasis.",true
212,"CR is associated with higher methylation age.",false
216,"CX3CR1 on the Th2 cells impairs T cell survival",false
217,"CX3CR1 on the Th2 cells promotes T cell survival",true
218,"CX3CR1 on the Th2 cells promotes airway inflammation.",true
219,"CX3CR1 on the Th2 cells suppresses airway inflammation.",false
220,"Ca2+ cycling controls whole-body energy homeostasis in beige fat.",true
221,"Ca2+ cycling is a UCP1-dependent thermogenic mechanism.",false
222,"Ca2+ cycling is a UCP1-independent thermogenic mechanism.",true
223,"Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.",true
227,"Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.",true
228,"Cardiac tissue-resident macrophages directly contribute to electrical activity.",true
230,"Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.",true
233,"Cell autonomous sex determination in somatic cells does not occur in Galliformes.",false
235,"Cell autonomous sex determination in somatic cells occurs in Galliformes.",true
236,"Cell autonomous sex determination in somatic cells occurs in Passeriformes.",true
239,"Cellular aging closely links to an older appearance.",true
241,"Cellular clocks are associated with mitosis timing in NIH 3T3 cells.",true
242,"Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.",false
243,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",true
245,"Charcoal is an effective treatment for acute paraquat poisoning.",false
246,"Charcoal shows no benefit for acute paraquat poisoning.",true
248,"Chenodeosycholic acid treatment increases whole-body energy expenditure.",true
249,"Chenodeosycholic acid treatment reduces whole-body energy expenditure.",false
250,"Chenodeoxycholic acid treatment decreases brown adipose tissue activity.",false
251,"Chenodeoxycholic acid treatment increases brown adipose tissue activity.",true
256,"Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.",true
258,"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",true
261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",true
263,"Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.",false
264,"Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.",true
265,"Clathrin stabilizes the spindle fiber apparatus during mitosis.",true
266,"Cnn1 recruitment varies with cell cycle timing.",true
267,"Cognitive behavioral therapy is an ineffective treatment for insomnia",false
272,"Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.",true
274,"Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.",false
275,"Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.",true
277,"Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.",true
278,"Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.",false
279,"Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.",true
280,"Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.",true
283,"Consumption of whole fruits increases the risk of type 2 diabetes.",false
286,"Converting apoE4 to apoE3 by gene editing prevents the pathology associated with apoE4 in human iPSCderived neurons.",true
287,"Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.",false
290,"Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.",false
292,"Cost effectiveness evaluations based on cRCT data lack external validity.",true
295,"Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.",true
296,"Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.",true
298,"Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.",true
299,"Cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis.",false
305,"DRD1 proteins enable Pol V transcription in vivo.",true
306,"DUSP4 decreases apoptosis.",false
308,"DUSP4 downregulation deactivates the Ras-ERK pathway",false
309,"DUSP4 increases apoptosis.",true
314,"Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.",true
317,"Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.",false
327,"Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.",true
330,"Deltex has no known interactions with eIF3f.",false
331,"Deltex interacts with eIF3. There is no known interaction between Deltex and elF3",false
332,"Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.",false
333,"Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.",true
334,"Depletion of nitric oxide is responsible for vasospasm.",true
335,"Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.",true
338,"Dexamethasone decreases risk of postoperative bleeding.",false
339,"Dexamethasone increases risk of postoperative bleeding.",true
340,"Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.",true
341,"Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.",false
342,"Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.",false
343,"Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.",true
346,"Differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling.",false
347,"Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.",true
349,"Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.",false
355,"Drosophila supracellular actomyosin structures are found at boundaries in wing imaginal discs.",true
356,"Dscam1 acts as a hypervariable pattern-recognition receptor for the immune system.",true
366,"ERAP1 SNPs are epistatic to HLA alleles for ankylosing spondylitis.",true
367,"Early patent ductus ateriosus (PDA) screening decreases in-hospital mortality.",true
368,"Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.",false
369,"Ectopic expression of Sall4, Nanog, Esrrb, and Lin28 generates induced pluripotent stem cells from mouse embryonic fibroblasts more efficiently than other factor combinations.",true
370,"Egr2 regulates the homeostasis of B and T cells.",true
371,"Egr3 regulates the homeostasis of B and T cells.",true
372,"Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.",true
375,"Elevated cell-free mitochondrial DNA levels are associated with mortality.",true
378,"Energy balance requires hypothalamic glutamate neurotransmission.",true
379,"Enhanced early production of inflammatory chemokines damages viral control in the lung.",false
380,"Enhanced early production of inflammatory chemokines improves viral control in the lung.",true
381,"Environmental factors can influence the development of breast cancer.",true
382,"Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.",true
385,"Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.",true
386,"Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.",true
394,"Excess gestational weight gain is associated with obesity-related pregnancy outcomes.",true
396,"Exercise increases cancer mortality rates among Chinese citizens.",false
397,"Exercise reduces cancer mortality rates among Chinese citizens.",true
399,"Exposure to fine particulate air pollution is relate to anxiety prevalence.",true
400,"Exposure to fine particulate air pollution is unrelated to anxiety prevalence.",false
413,"Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.",false
414,"Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.",true
415,"Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.",true
416,"Female carriers of the Apolipoprotein E4 (APOE4) allele have longer lifetime exposure to estrogen due to an increased reproductive period.",true
417,"Female carriers of the Apolipoprotein E4 (APOE4) allele have shorter lifetime exposure to estrogen due to a decreased reproductive period.",false
420,"Fibroblast growth factor 21 protects against atherosclerosis by modulating adiponectin and SREBP2 levels.",true
426,"Forkhead 0 (fox0) transcription factors are involved in apoptosis.",true
428,"Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.",true
430,"FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).",false
431,"FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).",true
432,"Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.",true
436,"Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.",true
441,"G-CSF increases the expansion and infiltration of MDSCs into tumors.",true
443,"GATA-3 is important for hematopoietic stem cell (HSC) function.",true
444,"GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.",true
445,"GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.",true
447,"Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.",false
448,"Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.",true
452,"Gene expression does not vary appreciably across genetically identical cells.",false
453,"General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.",false
454,"General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.",false
455,"Genes involved in pre-mRNA splicing have a significant impact on genome stability.",true
458,"Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.",true
461,"Genetic deletion of JAM-A increases gut permeability.",true
463,"Genomic aberrations of metastases provide information for targeted therapy.",true
466,"Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.",false
469,"Glial calcium waves influence seizures.",true
470,"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",true
475,"Glycolysis is one of the primary glycometabolic pathways in cells.",true
479,"Gpr124 increases BBB breakdown in mouse models of ischemic stroke.",false
480,"Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.",true
482,"Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.",true
483,"H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.",true
488,"HAND2 methylation is a key step in early endometrial carcinogenesis.",true
495,"Having a main partner improves HIV outcomes.",true
498,"Having a main partner worsens HIV outcomes.",false
499,"HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).",false
500,"Headaches are correlated with cognitive impairment.",false
501,"Headaches are not correlated with cognitive impairment.",true
504,"Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.",false
505,"Helicobacter pylori-induced aberrant NF-kB-dependent expression of activation-induced cytidine deaminase contributes to the mutagenesis of host DNA.",true
506,"Helminths interfere with immune system control of coinfections by microbial pathogens 16.",true
513,"High cardiopulmonary fitness causes increased mortality rate.",false
515,"High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).",true
516,"High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).",false
521,"High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).",true
523,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.",false
524,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.",true
525,"Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.",true
528,"Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.",true
529,"Human embryonic stem cells give rise to cell types from all three embryonic germ layers.",true
530,"Human embryonic stem cells give rise to cell types from the outer embryonic germ layer, but not the other two layers.",false
531,"Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.",true
532,"Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.",false
533,"Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.",true
536,"Hypocretin neurones induce panicprone state in rats.",true
537,"Hypocretin neurones suppress panicprone state in rats.",false
539,"Hypoglycemia increases the risk of dementia.",true
540,"Hypothalamic glutamate neurotransmission is crucial to energy balance.",true
541,"Hypothalamic glutamate neurotransmission is unrelated to energy balance.",false
542,"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.",false
547,"IL-10 production by monocytes inhibits CD4 + T cell response.",true
548,"IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.",true
549,"IRG1 has antiviral effects against neurotropic viruses.",true
553,"IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.",false
559,"Immune responses in immune cells are geographically segregated.",true
562,"Improvements in OER catalysts show stable activity over several hundred hours.",true
563,"In British Men, haplogroup I decreases risk of cardiovascular disease.",false
564,"In British Men, haplogroup I increases risk of cardiovascular disease by 50%.",true
565,"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.",true
566,"In S. cerevisiae, the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.",false
568,"In a naive state, blocking Wingless-Int-1 secretion from mouse embryonic stem cells inhibits self-renewal of the mouse embryonic stem cells.",true
569,"In adult tissue, most T cells are memory T cells.",true
570,"In breast cancer, the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.",true
571,"In breast cancer, the loss of myoepithelial cells slows the transition of ductal carcinoma in situ to invasive carcinoma.",false
576,"In melanoma, anti-CTLA-4 treatment reinvigorates exhausted PD-1+Eomes+CD8 T cells.",true
578,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",false
579,"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.",false
580,"In pediatric tissue, most T cells are naive T cell emigrants from the thymus.",true
584,"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.",true
589,"In young and middle-aged adults, current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.",true
590,"In young and middle-aged adults, current or remote uses of ADHD medications increase the risk of serious cardiovascular events.",false
591,"Incidence of 10/66 dementia is higher than the incidence of DSM-IV dementia.",true
592,"Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.",false
593,"Incidence of heart failure decreased by 10% in women since 1979.",true
594,"Incidence of heart failure increased by 10% in women since 1979.",false
595,"Incidence of sepsis has fallen substantially from 2009 to 2014.",false
597,"Incidence rates of cervical cancer have decreased.",true
598,"Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.",false
600,"Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).",false
601,"Including pharmacists in rounding teams reduces the incidence of adverse drug events (ADEs).",true
603,"Increased LDL receptors plays a role in the reduction of plasma Lp(a).",true
607,"Increased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.",true
612,"Increased microtubule acetylation exacerbates LRRK2 Roc-COR domain mutation induced locomotor deficits.",false
613,"Increased microtubule acetylation repairs LRRK2 Roc-COR domain mutation induced locomotor deficits.",true
614,"Increased microtubule acetylation repairs interference of axonal transport caused by LRRK2 Roc-COR domain mutations.",true
615,"Increased microtubule acetylation worsens interference of axonal transport caused by LRRK2 Roc-COR domain mutations.",false
619,"Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.",false
621,"Individuals with Alzheimers who participate in six months of physical activity improve cognitive function for up to 18 months.",true
624,"Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.",true
625,"Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.",true
626,"Induction of urokinase receptor signaling in podocytes causes foot process effacement and proteinuria.",true
631,"Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.",true
632,"Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.",false
633,"Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.",false
635,"Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.",false
636,"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",true
640,"Inside the body, falciparum parasites reproduce asexually.",true
641,"Insomnia can be effectively treated with cognitive behavioral therapy.",true
643,"Insulin effects appetite via ventral tegmental neurons.",true
645,"Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.",false
646,"Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.",true
647,"Integrated care is ineffective at tackling multiple comorbidities.",false
648,"Integrated care is successful at tackling multiple comorbidities.",true
653,"Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.",true
657,"Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.",true
661,"JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.",true
662,"JMJD6 slows the hydroxylation of C-terminal lysine",false
663,"KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.",true
665,"KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.",true
666,"Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.",true
667,"Klf2 is important for proper myeloid cell function.",true
668,"Klf4 is important for proper myeloid cell differentiation.",true
669,"Klf4 is not required for proper myeloid cell differentiation.",false
670,"Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.",true
671,"Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.",true
673,"LDL cholesterol has a causal role in the development of cardiovascular disease.",true
674,"LDL cholesterol has no involvement in the development of cardiovascular disease.",false
680,"Lack of FGF21 in mice increases life expectancy.",false
681,"Lack of FGF21 in mice leads to atherosclerotic plaque formation.",true
682,"Lack of FGF21 in mice leads to reduced lifespan.",true
683,"Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.",false
692,"Leuko-increased blood increases infectious complications in red blood cell transfusion.",false
693,"Leuko-reduced blood reduces infectious complications in red blood cell transfusion.",true
694,"Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.",true
709,"Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.",true
717,"Low nucleosome occupancy correlates with high methylation levels across species.",true
718,"Low nucleosome occupancy correlates with low methylation levels across species.",false
721,"Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.",true
723,"Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.",true
724,"Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.",true
726,"Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.",true
728,"Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.",false
729,"Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.",true
734,"MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.",true
736,"MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.",true
737,"MICAL redox enzymes regulate actin dynamics in many cell types.",true
738,"MICAL redox enzymes regulate actin dynamics.",true
740,"MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.",true
742,"Macrolides have no protective effect against myocardial infarction.",true
743,"Macrolides protect against myocardial infarction.",false
744,"Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.",true
745,"MafA phosphorylation decreases its ubiquitination.",false
746,"MafA phosphorylation enhances its ubiquitination.",true
747,"MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.",false
748,"MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.",true
749,"Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.",true
751,"Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).",true
752,"Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.",true
756,"Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.",true
