fever_id,claim,classification
175658,"Fabian Nicieza died December 31, 1961.",False
106392,Michael Hutchence died in a hotel room in Sydney.,True
41980,Aphrodite is married to the Greek god of blacksmiths.,True
29534,Temple Mount has nothing to do with an Abrahamic religion.,False
130220,Same Old Love is by Demi Lovato.,False
72132,Qin dynasty ended around 300 BC.,False
179302,Franchising is regulated in the United States.,True
85895,Garden State was shown at an American film fair.,True
120442,Daggering is a form of music.,False
193419,The Eighth Doctor has only ever aired on FX.,False
124264,Tye Sheridan is a dancer.,False
20605,Bad Romance was one of the worst-selling singles of all time.,False
70310,The Maze Runner is a motion picture.,True
196750,Marnie is a film.,True
147158,"NXT Tag Team Championship was created by World Wrestling Entertainment, Inc.",True
136427,Malta lies far to the south of the historical Melita.,False
80429,Saw II came out in a digital optical disc storage format.,True
17054,A near-Earth object is not a large orbiting body.,True
28593,The Wonder Years received a Peabody Award.,True
200262,Quentin Tarantino's original screenplay was the basis for the film Natural Born Killers.,True
187571,Dan Brown published a 2003 bestselling novel.,True
149286,T2 Trainspotting is set in and around Aberdeen.,False
116113,Lou Gehrig was voted a great first baseman.,True
194922,Stripes had a person appear in it.,True
127540,Guillermo del Toro was born.,True
136290,Java is an landform.,True
30638,Mandy Moore is an American citizen.,True
53676,Birthday Song (2 Chainz song) was produced by a producer.,True
205088,The Little Prince (2015 film) is incapable of being a film.,False
50529,Veep has won the Television Critics Association Award for Outstanding Achievement in Comedy.,True
221087,A&E is a German channel.,False
117000,Michigan is the eighth most populous of the 50 United States.,False
194221,Mike Friedrich is American.,True
126561,Johnny Van Zant became the lead vocalist for Lynyrd Skynyrd in 1997.,False
219130,Valencia is a city.,True
53796,A version of Despacito features Victor Manuelle.,True
163977,Veeram is an Indian Tamil film.,True
205102,Gaius Julius Caesar was only born in 430 BC.,False
225804,Chinatown was directed Quentin Tarantino exclusively.,False
173505,Sancho Panza is a character in a novel written by an author.,True
182267,Saturn Corporation is a registered voter.,False
88473,Edward G. Robinson is a star in The Cincinnati Kid.,True
165881,Buffy Summers appears in only in a film.,False
39405,Lou Gehrig was a baseball player who defended the area near the first base.,True
58800,Star Trek: Discovery is the first series since 2005's Star Trek Enterprise.,True
132355,David Packouz is a sculptor.,False
108755,The SpongeBob SquarePants Movie was directed by Stephen Hillenburg.,True
164506,The Nobel Prize in Chemistry was awarded to a person from anywhere except the Netherlands.,False
80970,Aristotle never visited Athens.,False
198066,Story of My Life was recorded by an English Irish band.,True
204630,Rio's sequel is a 2013 film.,False
160304,French Indochina was unofficially known as the Indochinese Union then the Indochinese Federation.,False
99849,Humphrey Bogart was not ranked greatest male star of Classic American cinema in 1999.,False
36333,Underdog was directed by a Belgian film director.,True
153261,The CONCACAF Champions League is a dead body.,False
85642,Neil Diamond has a middle name called Leslie.,True
18397,Scandal plays rock music.,True
57622,B. R. Ambedkar was the recipient of an award.,True
60144,James Brolin is not from America.,False
160814,Juventus Stadium in Turin is the home stadium for Juventus F.C.,True
8316,Brent Mydland was a member of the Grateful Dead.,True
175921,Aunt May is a character that appeared in comics.,True
131969,Vatican City has yet to be established.,False
216791,Timur was only Chinese.,False
117316,Vatican City was established as a city-state by the Lateran Treaty.,True
75584,Faye Resnick is known for her appearances on television.,True
90080,Terry Crews played on the Los Angeles Rams in 1996.,False
222738,Vedic Sanskrit is an ancient writing system.,False
134983,The English Wikipedia is the Spanish-language edition of an encyclopedia.,False
117063,Derek Hough starred in a work.,True
155920,Taylor Lautner appeared in The Bernie Mac Show in 2001.,False
63308,Dan Trachtenberg is an American filmmaker.,True
100446,Shomu Mukherjee died of a heart attack in November.,False
54411,Babur was born in 1483.,True
23729,The Dodo has been depicted with a green beak.,True
66801,Cheese in the Trap (TV series) stars Batman.,False
223273,The Baja 1000 was covered by Jim McKay in 1968.,True
211009,Resident Evil is a film.,True
122000,Danger UXB is a TV show.,True
142735,Elizabeth I was the daughter of a salesman.,False
9504,Pink covered the song Rhythm Nation.,True
134344,Joe Rogan was a person.,True
119794,Amancio Ortega is a business tycoon.,True
217025,Jab Tak Hai Jaan was praised for its cinematography and direction.,True
10675,Manchester United F.C. was the world's highest-earning tennis club for a season.,False
42583,Henry III assumed the throne when he was 9 years old in 1246.,False
193844,"Ed Gagliardi died on April 11, 2014.",False
1746,Sheryl Lee has yet to work with Woody Allen.,False
17374,John DiMaggio had a role on Teen Titans.,True
75538,Hedda Gabler's world premiere took place in Schwabing.,False
131670,Michael Hutchence has yet to die.,False
109036,Atlanta metropolitan area is located in south Georgia.,False
17628,Jack Lowden is incapable of being an actor.,False
124050,Kung Fu Panda was released in theaters in 2006.,False
32595,Castlevania was developed by Konami.,True
172108,Selena Gomez & the Scene's debut album was released in 2008.,False
41265,Carlos Santana is a musician.,True
62201,The Gifted was created for Fox.,True
116269,One Flew Over the Cuckoo's Nest was released in a year between 1934 and 1970.,False
142631,Raja Hindustani is a 1996 drama romance film directed by Michael Fassbender.,False
182915,The soundtrack of Far from the Madding Crowd was by Waluigi.,False
88479,West Virginia only borders Vermont to the northeast.,False
110008,The University of Illinois at Chicago is a high school.,False
40528,SpongeBob SquarePants is not a series.,False
165699,Randy Jackson turned down working as a judge for American Idol (season 8).,False
21146,Kuching is a city in Singapore.,False
72401,The Columbia River contains locks for shipping channels.,True
96377,"In 2015, among Americans, 11% of adults had consumed alcoholic drink at some point.",False
105419,Youtube is not a website.,False
181255,Sean Gunn was on Gilmore Girls.,True
226843,"Sejong the Great was born on May 15, 1397.",True
141801,TakePart is a division of a film production company.,True
131965,Andrew Kevin Walker is a writer.,True
206712,Samwell Tarly appears in novels by George R. R. Martin.,True
137842,Arizona is a mass-marketed beverage.,True
70311,IMDb is a professional Dota 2 player.,False
127402,Mandy Moore is a writer.,True
1251,"Watertown, Massachusetts is in the most populous state in New England.",True
36063,Catherine Keener appeared in a film.,True
154314,Southern Hospitality was unable to reach the Top 40.,False
78345,Konidela Production Company is a book.,False
4171,A monster is a creature.,True
92641,David Packouz was born in the 1980's.,True
142286,Shadowhunters did not begin its second season in January 2017.,False
36308,Marco Polo left a chronicle.,True
7769,Tottenham Hotspur F.C. is Scottish.,False
8550,The Mirny (sloop-of-war) was commanded by a person.,True
186320,The Hunchback of Notre Dame is based off of a book.,True
13396,Anushka Sharma won a Filmfare Award for Best Supporting Actress.,True
122692,The Residenztheater is where Hedda Gabler's world premiere took place.,True
136853,Rachel Green is a fictional hat.,False
43563,Birthday Song (2 Chainz song) was unable to get produced by Mike Dean.,False
93300,Eric Bana died in 1968.,False
148167,Hush (2016 film) was produced.,True
35681,Internet access avoids the use of computer terminals.,False
143042,Staton is the middle name of Matt Bomer.,True
143144,Henri Kontinen won the Australian Open men's doubles championship in 2011.,False
135836,"Lemmy was known for his soft, gentle voice.",False
78843,Skopje was contested between dead bodies.,False
49838,Dakota Fanning is American.,True
74488,Laura Robson is a Wimbledon Junior Girls' Championship winner.,True
69837,The United Nations Charter was drafted in 1946.,False
10461,Kuching is in Sri Lanka.,False
5578,Australia (2008 film) production took place in Kununurra.,True
73941,Underdog refused to cast Peter Dinklage.,False
53669,Guns N' Roses is an American hard rock restaurant.,False
11853,Robinson Crusoe on Mars was distributed by an American film studio in 2006.,False
193525,Several awards have been given to Bala for his work.,True
149607,"Charlotte, North Carolina banned any corporation headquarters forever.",False
125458,Ed and Lorraine Warren were dogs.,False
75770,Shawn Carlson was born in 1920.,False
153539,Superhuman abilities may be impeded by human enhancement by nanotechnology.,False
89322,Simon Pegg is English.,True
145061,"Ed Gein did not commit crimes around Plainfield, Wisconsin.",False
121468,Homo sapiens are on the IUCN Red List.,True
118068,Liverpool is unrelated to The Beatles.,False
97251,Rob Sheridan was born on September.,False
117409,Starrcade was eventually broadcast via pay-per-view umbrella.,True
142638,"Scotty Moore was born on May 27, 1931.",False
124862,How to Train Your Dragon 2 used old animation software.,False
203156,Polynesian languages include Tahitian.,True
137335,"Kerplunk, released in 1990, was Green Day's last album on the Lookout Records label.",False
76165,"Camden, New Jersey is in Camden County, New Jersey.",True
108376,"Prescott, Arizona is an American city.",True
182918,The cinematography of Far from the Madding Crowd was by Waluigi.,False
108345,Raven-Symoné refuses to be an actress.,False
198216,Saturn is the second-largest planet in the Solar System.,True
175930,Aunt May is a character that appeared in movies.,True
202764,Despicable Me 2 was animated by a dog.,False
187375,Rob McElhenney plays Mac on an FX/FXX comedy series.,True
220290,Peter Yates refused to direct the movie Bullitt.,False
194367,Happiness in Slavery is a not song by a band.,False
12843,Penguin Books revolutionized publishing in the 1930s.,True
206437,Uta Hagan is incapable of being an American actress.,False
46666,Gin derives its main flavour from strawberries.,False
192793,A staging area is only an unused piece of land.,False
100919,Sidse Babett Knudsen works in radio.,False
108281,Andrew Kevin Walker is only Chinese.,False
181823,Don Hall is a Walt Disney Animation Studios filmmaker.,True
145616,Donald Duck typically wears only a dress.,False
140299,Donna Noble is unfamiliar with the Doctor Who franchise.,False
849,John S. McCain Jr. graduated in 1931.,True
209103,Sennacherib's youngest daughter was Esarhaddon.,False
225722,David Lloyd George was a prime minister.,True
78855,Henry Condell had zero widows.,False
112334,Kojol received the third highest civilian honour of the country.,False
92625,Maximum Overdrive is a film from 1986.,True
64131,Deepika Padukone has only been in one Indian film.,False
13515,Petyr Baelish is created by an American author George R.R. Martin.,True
165890,"Alice Cooper was born on February 4th, 1948.",True
138758,I Kissed a Girl was only recorded by Donald Trump.,False
134126,Jason Bourne removed Riz Ahmed from the movie's cast.,False
61989,Rupert Murdoch has worked since at least 1354.,False
204557,Commodore is only a land rank.,False
16646,Andrew Moray led an uprising against occupation in 1297.,True
60425,Salman Rushdie was a winner of the Booker Prize.,True
142490,"Benjamin Franklin finished college on April 17th, 1790.",False
19484,The Vandals established kingdoms in the 8th century.,False
156656,Melilla shares a border with a country.,True
13894,English people are descended from the Angles.,True
175436,A manga series illustrated by Takeshi Obata is the basis for the Japanese television drama series Death Note.,True
94918,Helmand Province is in Iraq.,False
81007,Touchscreens are used in tablet gaming computers.,True
110635,A French business publishes Michelin Guides.,True
196757,Marnie was exclusively directed by a woman.,False
155989,Scaramouche is a stock character of a horse.,False
44347,Duff McKagan was born in May of 1964.,False
140032,Georges Gilles de la Tourette failed to describe symptoms in nine patients.,False
24479,Charles de Gaulle was a leader in the French Resistance.,True
154859,George III of the United Kingdom did not experience Great Britain as a dominant European power.,False
192858,Ian Brennan only works in mining.,False
227362,Giada at Home was only available on DVD.,False
3119,The University of Illinois at Chicago is located in Jamaica.,False
184049,Kenneth Lonergan is a songwriter.,False
64910,James Brolin has never appeared in television.,False
137416,Arizona is a part of France.,False
153836,Camp Flog Gnaw is barred from being a carnival.,False
134387,2016 Tour de France was not won by Chris Froome.,False
176628,Great white sharks prefer humans as prey.,False
10650,Rehab is Amy Winehouse's signature song.,True
142462,"During the Battle of France, English forces occupied Paris.",False
47228,Chris Bosh played with the basketball team in Miami.,True
148779,The Challenge XXX: Dirty 30 is a season of an Australian TV show.,False
119515,Cars 3 is a computer animated prototype.,False
18051,Kate Walsh has yet to appear on an ABC television drama.,False
67818,"On January 5, 1998, Sonny Bono perished.",True
13688,Salt River Valley is on the Mississippi River.,False
113467,Telemundo is incapable of being an American television network.,False
186941,Cher was released only by Sony Music.,False
164896,Hezbollah received a type of support from Syria.,True
157273,Salman Rushdie was accused of plagiarizing a 1981 novel.,False
168041,Larry Wilmore is Canadian.,False
98274,"Pink was born on September 4, 1970.",False
69238,No Country for Old Men is a drama.,True
118481,Some Kentucky inmates are executed by lethal injection instead of the electric chair.,True
221245,"The Block (album)'s single was released on November 18, 2008.",False
190153,In 1995 Oscar de la Hoya was named Fighter of the Year.,True
182282,Saturn Corporation is a subsidiary of no other entities.,False
129066,Dev Patel has not worked with Neill Blomkamp.,False
39171,Brazzers is based in Canada.,True
171496,Jiang Wen is exclusively American.,False
194753,L. Ron Hubbard spent the remaining years of his life on a ranch.,True
122767,T2 Trainspotting is set in and around Dundee.,False
127098,MSG has a bitter taste.,False
2374,Anthony Scaramucci is not a political figure.,False
193893,Bea Arthur's birth name was Bea Arthur.,False
193884,Bea Arthur was born in 1922.,True
185736,Mani Ratnam is given credit by many people for changing the profile of Indian cinema.,True
182043,The Fly is exclusively a novel.,False
186591,Asylum Records is a record label founded in 1971.,True
223346,The principal photography of The Disaster Artist (film) is incapable of starting.,False
46513,The filming of Dilwale Dulhania Le Jayenge finished in August 1995.,True
192034,American Library Association is the smallest of its kind.,False
60008,'Artist of the Year' was a name given to Danny Brown by Metro Times.,True
126509,"Make It or Break It ended in May 14th, 2012.",True
51435,There was an attempt to change Cyprus.,True
66940,Harold Macmillan was involved with politics.,True
224133,Celebrity Rehab with Dr. Drew is set wholly on-location at the Playboy Mansion.,False
208414,Excuse My French is the debut album of an artist.,True
110647,Birmingham is a sports team.,False
179088,Cate Blanchett starred in the film The Good German.,True
209884,In a Lonely Place has a script based on a work from 1947.,True
42943,T2 Trainspotting is directed by a man from the capital city of Scotland.,False
155659,Yin and yang contain a section of the opposite element in each portion.,True
87072,Anne Boleyn returned to England.,True
66918,Johnny Galecki's character in The Big Bang Theory had a doctoral degree.,True
111176,Part of Dilwale Dulhania Le Jayenge was filmed in Super 8.,False
152955,I Want to Know What Love Is is a single.,True
46464,Carlos Santana is a US president.,False
124669,Paramore is retired.,False
203373,Goosebumps (film) is based on a story by Scott Alexander and Larry Karaszewski.,True
171638,Dave Gibbons is a writer.,True
69652,Maggie Q starred in a TV series.,True
145624,Gin does not derive its main flavour from juniper berries.,False
184099,Ernest Medina played a role in a Vietnam War mass murder.,True
13155,James Earl Jones was not the voice of Darth Vader.,False
36775,The Times was founded in 1980.,False
32255,Dilwale Dulhania Le Jayenge was shot in different locations.,True
97576,Yin and yang is a Taoist moral concept.,False
21644,Jason Bourne has Julia Stiles as part of the cast.,True
18065,Colombiana was produced by Olivier Megaton.,False
122477,The Gettysburg Address was delivered exclusively by King George III.,False
27187,T2 Trainspotting is a British film.,True
75393,"Pierce County, Washington is the location of the shortest mountain of the Cascade Range of the Pacific Northwest.",False
218471,The Hanford Site contributes to the LIGO Hanford Observatory.,True
47630,'I Feel for You' by Chaka Khan was released five years after 1984.,False
192714,CBS is the network that aired The Millers.,True
137038,Emily is the name of the mother of Lorelai Gilmore.,True
164894,Hezbollah received a type of training from Iran.,True
194260,Coins of the Swiss franc are used only outside of Liechtenstein.,False
117967,Tenacious D started in the 1990's.,True
112701,Younger ended in 2015.,False
215215,Dreamer (2005 film) is an American sports television show.,False
72358,Ripon College is in hell.,False
12683,The CONCACAF Champions League is organized by CONCACAF.,True
205656,St. Anger is only a single.,False
137678,"Food Network is available to approximately 96,931,000 pay television citizens.",False
40396,L.A. Reid has served as the CEO of an American record label owned by Sony Music Entertainment.,True
172312,Scream 2 was directed exclusively by Barack Obama.,False
189773,Matthias Corvinus had a library.,True
117114,"Camden, New Jersey has no universities.",False
128454,Awkward Black Girl is a web forum.,False
126926,Hinduism contains a philosophical range.,True
138159,Gray Matters only stars Jack Black.,False
70020,Angela Bassett started her film career in the mid-1980s.,True
19663,Guillermo del Toro was born in 1700.,False
174585,Artpop debuted at number one on the United States Billboard 200.,True
13872,Tool has produced albums.,True
71687,David Packouz was born in 1989.,False
80148,Castlevania came out in Japan in 1990.,False
164420,Carey Hayes is illiterate.,False
75871,Luis Fonsi is Puerto Rican.,True
7546,Brown University's main campus is located in the most populous city in Rhode Island.,True
227775,"Lyon's population has never increased above 500,000.",False
194904,Stripes had Conrad Dunn featured in it.,True
102751,Neil Diamond is not a songwriter.,False
84272,Mud has a Canadian in its cast.,False
7436,"Simon Pegg was born on February 14th, 1860.",False
87161,Andrew Moray led an uprising against occupation in 1397.,False
180722,Victoria (Dance Exponents song) peaked at number 10 on the New Zealand Singles chart.,False
327,Donald Duck typically wears a cap.,True
187323,"Diana, Princess of Wales divorced.",True
74163,"George III of the United Kingdom experienced Great Britain as a dominant European power, including over the territories it controlled in America and India.",True
79688,Men in Black II is a 2007 film.,False
18794,"On October 11, 1977, Matt Bomer was born.",True
94760,P.S I Love You (film) was reviewed by Richard LaGravenese.,False
69655,Johann Wolfgang von Goethe became managing director of the theater at Weimar in 1751.,False
7105,Zac Efron is Somali.,False
64067,Sausage Party was only directed by Donald Trump.,False
188581,Pitch Perfect 2 is a bill.,False
21405,Brie Larson is an anarchist.,False
41571,"In Stanley Park, lots of trees have been replanted.",True
39605,Neil Diamond is a musician.,True
91139,Salt River Valley is on the Utah-Arizona border.,False
8504,Jenna Jameson has been photographed.,True
1666,Ed Wood is about the eponymous filmmaker.,True
106308,Pink is a Dutch singer.,False
97458,The final season of Lost was watched by by an average of 9.6 million viewers per episode.,False
37067,Lee Daniels directed a film based on the novel 'Push.',True
192751,The Colbert Report was broadcast Monday.,True
128141,The Gettysburg Address was delivered by a Secretary of the United States.,False
134097,Lockhead Martin F-35 Lightning II first flew in 2008.,False
67582,No Country for Old Men is critically acclaimed.,True
25289,The Love Club EP is the debut extended play by Lorde.,True
16581,Hindu Kush's highest point is the peak called Hindu Kush.,False
172750,The Beach is a film with multiple genres.,True
111206,Fidel Castro transferred his responsibilities.,True
87903,Mission Impossible 3 stars Maggie Q.,True
164101,Annie is a movie.,True
226114,Bongwater was based on a book.,True
168612,The Thin Red Line (1998 film) features a performance by Sean Penn.,True
153437,Menace II Society is a motion picture.,True
32927,John Krasinski is an actor on The Office.,True
160927,Juventus F.C. competes in the Coliseum.,False
47525,King Edward the First's occupation of north Scotland was opposed by Andrew Moray.,True
103398,The Danish language is spoken only outside of Norway.,False
200290,Natural Born Killers was based upon Tarantino's original screenplay without revision.,False
152461,Eddie Guerrero had problems with substance abuse.,True
114469,Simon Cowell has donated zero dollars to anything ever.,False
201576,A thunderstorm requires the presence of lightning.,True
175725,The Cry of the Owl is a thriller film.,True
150765,Penélope Cruz refused to model for Mango.,False
41923,Dilwale Dulhania Le Jayenge was all filmed in China.,False
69139,Ice-T signed to Sire Records in 1987 when he was 18 years old.,False
93610,Britt Robertson is an entertainer.,True
187564,Dan Brown wrote a 2003 bestselling novel.,True
142717,A person who was born in August discovered Uranium-235.,True
103063,Hermit crabs are animals.,True
122572,Acting is John Krasinski's career.,True
143046,Henry Cavill played Superman.,True
47357,Margaret Thatcher implemented policies.,True
224968,Kentucky is known for bluegrass music.,True
134442,A parent of Jed Whedon was a screenwriter.,True
72585,Scream became notable.,True
155173,Zac Efron's middle names are Emma and Suzanne.,False
25739,Jamie Lee Curtis' father is Tony Curtis.,True
135180,Yin and yang do not show a balance between opposites.,False
137385,Aaron Burr is the current vice president.,False
112277,"Stanley Williams was executed in March 5th, 2005.",False
60350,Shinji Mikami is a director.,True
123925,Wales was always an industrial nation.,False
91868,Azithromycin is prescribed under different trade names.,True
111325,Winter's Tale is only a movie.,False
96943,Hot Right Now is off of DJ Fresh's fourth album.,False
105928,Bob Ross created a painting show.,True
171498,Jiang Wen was born on January 6.,False
164060,The Saturn Award for Best Fantasy Film is presented by the Academy of Motion Picture Arts and Sciences.,False
79575,Sausage Party is a comedy.,True
65306,Younger is a series.,True
11940,Edward Cullen was created outside of Stephenie Meyer's work.,False
28406,Eva Green did not have a career in theatre.,False
109831,Wolfgang Amadeus Mozart had at least two sons.,True
186592,Asylum Records was first founded in 1787.,False
89450,Yugoslavia was a city.,False
1139,"Catherine Keener appeared in Synecdoche, New York.",True
92988,See You on the Other Side is a boat.,False
56038,James Spader refused to star in any controversial psychological thrillers.,False
108880,"Harold Macmillan was born on Monday February 10, 1894.",False
56735,The Blue Dog Coalition was formed.,True
93416,Aubrey Anderson-Emmons did not star on Modern Family.,False
183447,Henry III of France was murdered.,True
171624,Dave Gibbons's middle name is Jason.,False
175485,Christian Gottlob Neefe was only an opera singer.,False
16376,Maximum Overdrive is a 1986 science fiction action horror comedy film.,True
161195,"Jarhead, a 2005 American biographical war drama, was directed by Jim Jarmusch.",False
131495,Kuching is in the state of Johor.,False
188148,Stephen Moyer refused to ever act in anything.,False
195370,Graffiti was released in 2005.,False
83530,The House of the Spirits won German Film Awards in 1988.,False
10118,Barbarella is a film from 1968.,True
119066,Chris Kyle was a United States Navy SEAL veteran and sniper.,True
5666,One Flew Over the Cuckoo's Nest won an Academy Award.,True
173030,Barcelona is the capitol city of Catalonia.,True
45018,Chris Paul is a point guard for the Lakers.,False
110221,Knowledge and research in multiple fields is incorporated with Speech recognition.,True
7257,Hermit crabs are crustaceans in the superfamily Paguroidea.,True
4251,Solanum contains the leopards.,False
101583,Guillermo del Toro does not work in the film industry.,False
23137,Therasia is a peninsula.,False
80676,Watchmen is a dark satirical and dystopian take on the superhero genre and it lasts for six hours and forty-five minutes.,False
37881,Tenacious D began in California.,True
64660,Charles de Gaulle was used as the basis of a French political stance.,True
129088,Matthew Gray Gubler was born in 1984.,False
186979,Bermuda Triangle is also referred to as the Devil's Triangle.,True
166634,Anne Rice was born in Japan.,False
170420,Michael Vick is a former football quarterback in the NFL.,True
89633,Romani people has a population of 5387 in the Republic of Macedonia.,False
107543,The Africa Cup of Nations is a football tournament.,True
55065,Ripon College has existed.,True
71639,Amy Winehouse died of alcohol poisoning at age 27.,True
97554,Sabbir Khan directed zero films.,False
131309,Henry Cavill is a famous director.,False
107307,"On April 8, 1974, Chris Kyle was born.",True
125513,The dress did not inspire hashtags.,False
216395,Homer Hickman's memoirs sold terribly.,False
179035,Congressional Space Medal of Honor is awarded based on recommendations from the Administrator of Office Depot.,False
144769,Fantastic Four (2005 film) was released only in Australia.,False
9833,The State of Palestine claims East Lebanon.,False
145533,Estonia is a place.,True
66842,James Jones missed the playoffs once in 2007-2008.,True
130007,Internet access requires the use of computers.,False
23475,Highway to Heaven is a drama series.,True
101821,Daenerys Targaryen was introduced in A Feast for Crows.,False
162216,Ding Yanyuhang is an American professional basketball player.,False
61807,"In The 100, adults are the first to return to Earth after a devastating nuclear apocalypse.",False
145707,The great white shark does not prefer to prey on humans because it's a herbivore.,False
113912,"James, Viscount Severn was born in the 1990s.",False
187379,Rob McElhenney is on an FX/FXX comedy series playing a character.,True
132762,Seohyun is only a director.,False
14790,"On September 6th, 1997, Diana, Princess of Wales's funeral took place.",True
44566,Mary of Teck was queen-consort.,True
141159,Soyuz is a series of movies.,False
130332,Exercise raises resting heart rate in the long term.,False
36141,Lucy Hale is an actress and singer.,True
158208,Stephen Colbert is a talk show host currently hosting The Late Show.,True
52559,The genre of Colombiana is action.,True
13758,Murda Beatz is a record producer.,True
53025,Monetary gain can be a purpose of fraud.,True
205106,Gaius Julius Caesar was Roman.,True
61641,Francis I of France had the popular nickname Francis of the Large Nose.,True
201793,Live Through This is an album.,True
4350,Kendall Jenner is a model.,True
208427,Excuse My French is an album by an German rapper.,False
66524,Honeymoon is Lana Del Rey's fourth single.,False
40622,"Neil Diamond finished college on January 24th, 1941.",False
76117,I Want to Know What Love Is is a song.,True
156102,"Keith Stanfield was born on March 12, 1991.",False
112986,Angelsberg is a city.,False
27980,Kenny Chesney's full name is Kenneth Arnold Chesney.,True
103167,The Love Club EP is the debut extended play by Banks.,False
199735,Tijuana is the center of the Tijuana metropolitan area.,True
220205,Raabta (song) is a romantic Hindi song from a movie.,True
99635,Mad Max: Fury Road was released in 2017.,False
79146,The Danish language is spoken only outside of Canada.,False
2521,Akkineni Nageswara Rao plays in Daag.,False
38141,Rick Ross made more than eight studio albums.,True
6270,Angela Bassett received a bachelor of arts degree from Yale University.,True
75309,The Bassoon King is a book.,True
168637,The Thin Red Line (1998 film) portrays only frogs.,False
70159,One Dance reached number one in the Netherlands in 2010.,False
195129,Backing vocalists provide instrumental harmony.,False
224557,"Vampire Academy, worldwide, grossed $15.4 million.",True
4091,Zac Efron's full name is Zac David Alexander Efron.,False
171890,"To test the validity of experiments, research is used.",False
198896,Lois Lane's name was taken from an actress.,True
211872,See.SZA.Run is an unrecorded live performance.,False
111685,Trouble with the Curve was only released in 2013.,False
88872,Jim Broadbent is involved with Game of Thrones (season 7).,True
96765,Nymphomaniac (film) is not part of a trilogy.,False
354,LinkedIn is available in zero languages as of 2013.,False
104847,The New York Knicks are one of the professional teams in the National Basketball Association's Eastern Conference.,True
58896,Omar Khadr was detained at Guantanamo Bay.,True
215140,Private Lives is only a horror movie made by a Bollywood director.,False
148776,The ability of organizations to connect to the internet is called Internet Access.,True
197376,Simón Bolívar's full name is Simón Bolívar.,False
16721,Goldie Hawn was a bankable star.,True
114523,Zac Efron was born in the 1980s.,True
198554,Catherine Hardwicke refused to ever work as a screenwriter.,False
133407,Michigan is a U.S. state and a leading destination for recreational boating.,True
131530,Halsey signed a recording contract in 2014.,True
21376,A Good Day to Die Hard was written by Skip Woods.,True
164092,Annie is a film.,True
142729,Arjit Singh is male.,True
203155,There are zero Polynesian languages.,False
28013,Noel Fisher acted in Shameless.,True
78174,Toy Story 2 was released in 2004.,False
214973,Sensitive Skin's first series aired in a country.,True
47241,Sleipnir has eight legs.,True
22441,Richard Kuklinski committed crimes.,True
89912,Lost was not on ABC.,False
108814,Issa Rae has developed her own platform.,True
142701,Qui-Gon Jinn is a writer in the Star Wars franchise.,False
53663,James Jones has not won the Three-Point Contest.,False
212237,Gory Guerrero's birth name is Gory Guerrero.,False
9860,Bob Ross created the Internet.,False
68132,Jens Stoltenberg served as Prime Minister.,True
178342,Al Jardine sang lead vocals on a song written by a songwriter.,True
177842,Milk is based on the life of Harvey Dent.,False
141547,Bhagat Singh died.,True
171904,"To test the validity of procedures, research is used.",True
93307,Food Network is offered in a federal democracy based on a constitution.,True
204985,Tyler Perry is incapable of songwriting.,False
202460,Tinker Tailor Soldier Spy is only a TV show.,False
